gene_name number_of_transposon_per_gene number_of_read_per_gene
DTD1 1 0
YDL218W 14 344
TIM22 1 0
RRI1 17 184
GDH2 41 375
PRR2 29 582
NOP6 8 111
SHR3 2 1
YDL211C 24 197
UGA4 11 45
CWC2 0 0
NHP2 1 0
GLE1 1 0
YDL206W 4 7
HEM3 0 0
RTN2 7 156
ACK1 17 55
MRPL11 2 2
TRM8 7 29
MGT1 12 56
YDL199C 8 64
GGC1 0 0
ASF2 18 278
YDL196W 20 569
SEC31 0 0
SNF3 13 42
NUS1 0 0
ARF1 0 0
RPL35A 1 0
UFD2 25 343
RBS1 7 13
PPH22 15 204
YDL187C 2 2
YDL186W 1 0
YDL185C-A 3 2
VMA1 0 0
RPL41A 0 0
YDL183C 16 149
LYS20 11 119
INH1 2 1
YDL180W 6 26
PCL9 2 1
DLD2 18 202
YDL177C 5 8
YDL176W 5 40
AIR2 6 26
DLD1 17 166
PAR32 5 10
YDL172C 3 2
GLT1 61 758
UGA3 21 180
UGX2 3 2
SFA1 5 74
NRP1 11 78
FAP7 0 0
CDC36 1 0
CDC9 1 0
YDL163W 0 0
YDL162C 7 47
ENT1 6 86
MHF2 4 8
DHH1 2 6
YDL159W-A 8 46
STE7 15 252
YDL159C-B 1 0
YDL158C 1 0
YDL157C 2 2
CMR1 38 562
CLB3 8 62
MSH5 21 203
SAS10 2 4
YDL152W 2 2
BUD30 0 0
RPC53 0 0
ATG9 4 42
NOP14 3 3
RPN5 1 0
LDB17 10 58
COP1 0 0
YDL144C 20 260
CCT4 0 0
CRD1 3 6
BPL1 1 0
RPO21 6 13
SCM3 0 0
RGT2 20 252
ARF2 6 17
RPL35B 6 22
RDI1 5 87
PPH21 16 87
RPL41B 0 0
SRF1 9 52
CDC53 5 10
LYS21 9 58
STF1 1 0
RPP1B 5 28
YDL129W 14 62
VCX1 13 100
PCL2 25 322
CDC48 2 1
HNT1 14 49
YDL124W 7 46
SNA4 3 6
UBP1 9 96
YDL121C 9 54
YFH1 0 0
YDL119C 3 3
YDL118W 0 0
CYK3 17 128
NUP84 3 3
IWR1 9 97
YDL114W-A 0 0
YDL114W 11 55
ATG20 13 68
TRM3 30 346
RRP42 1 0
TMA17 4 5
YDL109C 20 347
KIN28 4 17
MSS2 3 2
PHO2 11 68
NSE4 0 0
QRI7 6 16
QRI1 3 4
POL3 4 8
DUN1 3 3
GET3 3 8
BUG1 15 125
SNU23 1 0
RPN6 0 0
OPI6 7 60
PMT1 10 57
YDL094C 12 269
PMT5 24 271
SRP14 2 5
UBX3 9 61
RAM1 0 0
NUR1 12 124
ASM4 4 7
LUC7 1 0
YDL086W 25 257
YDL086C-A 17 185
YDL085C-A 6 66
NDE2 11 277
SUB2 0 0
RPS16B 2 2
RPL13A 3 15
RPP1A 0 0
THI3 8 30
MRK1 25 182
MDH3 0 0
VAM6 3 10
RXT3 18 186
RPL31A 0 0
BRE1 1 0
YDL073W 30 229
YET3 5 10
YDL071C 12 31
BDF2 16 90
CBS1 0 0
YDL068W 0 0
COX9 0 0
IDP1 15 137
PEX19 12 135
UBC9 1 0
SYO1 8 37
YDL062W 1 0
RPS29B 0 0
TSR1 1 0
RAD59 11 57
USO1 12 80
YDL057W 23 323
MBP1 17 132
PSA1 1 0
MCH1 30 589
PBP4 5 10
SLC1 21 263
LHP1 20 134
YDL050C 10 74
KNH1 35 366
STP4 29 308
SIT4 1 0
NPC2 9 67
MRP10 1 0
FAD1 0 0
MTF2 0 0
PRP11 0 0
SIR2 34 673
YDL041W 10 65
NAT1 16 392
PRM7 12 67
BSC1 6 52
PUS9 11 65
GPR1 10 74
YDL034W 1 0
SLM3 2 9
YDL032W 3 6
DBP10 0 0
PRP9 1 0
ARP2 1 0
MPS1 5 12
YDL027C 4 6
YDL026W 1 0
RTK1 8 24
YDL025W-A 1 0
DIA3 17 142
