gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR157W 29 303
HOM2 5 5
SAC3 14 218
SSY1 0 0
YDR161W 0 0
NBP2 1 0
CWC15 8 79
SEC1 3 10
TRM82 17 338
SEC5 16 91
TAF10 2 1
CDC37 2 1
STB3 9 74
YDR169C-A 3 26
SEC7 6 18
HSP42 8 28
SUP35 0 0
ARG82 2 1
HMO1 3 5
RSM24 1 0
NGG1 7 34
UBC1 3 7
SDH4 4 17
CSN9 5 23
YDR179W-A 6 77
SCC2 5 5
SAS4 16 179
CDC1 1 0
YDR182W-A 4 63
PLP1 11 119
YDR183C-A 8 63
ATC1 9 110
UPS3 6 23
YDR186C 12 26
YDR187C 7 46
CCT6 3 2
SLY1 1 0
RVB1 1 0
HST4 15 202
NUP42 15 181
YDR193W 6 35
MSS116 3 2
YDR194W-A 0 0
REF2 6 46
CAB5 2 1
CBS2 0 0
RKM2 14 126
YDR199W 8 36
VPS64 15 228
SPC19 1 0
RAV2 7 26
YDR203W 1 0
COQ4 2 1
MSC2 0 0
EBS1 29 327
UME6 17 113
MSS4 11 114
YDR209C 3 31
YDR210W 1 0
GCD6 2 1
TCP1 3 5
UPC2 40 944
AHA1 18 407
YDR215C 52 717
ADR1 28 432
RAD9 40 698
SPR28 20 90
MFB1 6 28
YDR220C 11 33
GTB1 60 1286
YDR222W 10 93
CRF1 13 110
HTB1 0 0
HTA1 4 22
ADK1 3 8
SIR4 31 297
PCF11 3 14
IVY1 19 79
YDR230W 14 267
COX20 14 249
HEM1 0 0
RTN1 3 14
LYS4 32 374
PRP42 0 0
FMN1 1 0
MRPL7 0 0
SEC26 1 0
YDR239C 32 502
SNU56 5 19
BUD26 9 133
AMD2 24 268
PRP28 0 0
PEX5 17 65
MNN10 3 95
TRS23 3 7
YDR246W-A 22 553
VHS1 21 286
YDR248C 18 148
YDR249C 14 239
YDR250C 25 448
PAM1 28 243
BTT1 4 15
MET32 7 49
CHL4 4 13
RMD5 3 10
CTA1 46 717
RKM4 5 75
HSP78 28 384
YAP6 40 547
SWM1 32 449
EXG2 35 402
YDR262W 7 27
DIN7 26 297
AKR1 4 6
PEX10 7 68
HEL2 18 202
CIA1 0 0
MSW1 0 0
YDR269C 4 12
CCC2 36 406
YDR271C 15 222
GLO2 6 39
DON1 20 229
YDR274C 53 1633
BSC2 5 20
PMP3 2 1
MTH1 22 232
YDR278C 8 62
RNH202 12 167
RRP45 1 0
PHM6 3 4
YDR282C 16 174
GCN2 7 11
DPP1 16 132
ZIP1 25 222
YDR286C 2 5
INM2 10 71
NSE3 2 1
RTT103 5 19
YDR290W 9 51
HRQ1 57 1171
SRP101 1 0
SSD1 34 293
DPL1 15 94
HDA2 14 201
MHR1 2 1
SUR2 2 2
ATP5 0 0
BFR2 1 0
PRO1 1 0
CFT1 2 1
GPI11 1 0
RSC3 1 0
CPR5 5 90
HNT2 13 191
YDR306C 15 250
PMT7 18 230
SRB7 0 0
GIC2 12 75
SUM1 5 10
TFB1 2 5
SSF2 10 32
PIB1 13 160
RAD34 22 289
IPK1 1 0
OMS1 9 62
HIM1 4 4
MCM21 4 8
YFT2 14 99
SWA2 7 12
DAD4 0 0
YDR320W-B 18 156
ASP1 10 54
MRPL35 1 0
TIM11 3 6
PEP7 9 121
UTP4 4 11
YCG1 6 6
YSP2 28 372
YDR327W 1 0
SKP1 1 0
PEX3 6 33
UBX5 16 104
GPI8 1 0
IRC3 5 5
RQC1 16 337
SWR1 13 50
MSN5 8 35
YDR336W 12 57
MRPS28 1 0
YDR338C 35 515
FCF1 0 0
YDR340W 12 88
YDR341C 1 0
HXT7 2 1
HXT6 1 0
YDR344C 16 198
HXT3 18 338
SVF1 21 411
MRP1 2 2
PAL1 32 340
YPS7 20 191
ATP22 1 0
SBE2 16 170
YPQ2 7 63
TRR1 0 0
TRP4 5 54
YDR354C-A 1 0
YDR355C 0 0
SPC110 1 0
CNL1 18 134
GGA1 10 82
EAF1 15 72
OPI7 1 0
BCP1 2 1
TFC6 1 0
ESC2 14 50
SEM1 0 0
CDC40 1 0
ESF1 3 2
