gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR277C 11 102
DPB3 13 120
PAF1 7 36
SAF1 21 291
DUG2 32 1195
MRPL27 1 0
SSH1 3 11
YBR284W 43 805
YBR285W 3 2
APE3 31 580
YBR287W 17 80
APM3 7 37
SNF5 11 72
BSD2 10 93
CTP1 56 1290
YBR292C 15 91
VBA2 19 241
SUL1 30 408
PCA1 44 567
PHO89 28 366
YBR296C-A 3 8
MAL33 30 199
MAL31 14 96
YBR298C-A 14 357
MAL32 12 136
YBR300C 10 17
PAU24 2 1
COS2 0 0
YCL076W 0 0
GEX1 7 13
VBA3 2 1
YCL068C 2 1
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 2 1
VAC17 8 109
MRC1 14 116
KRR1 2 3
FYV5 11 88
ADF1 3 2
MIC10 2 2
PRD1 30 530
PEX34 6 21
KAR4 10 32
RDT1 0 0
SPB1 3 2
PBN1 2 2
LRE1 28 434
APA1 16 174
YCL049C 13 44
YCL048W-A 5 6
SPS22 29 578
POF1 7 83
EMC1 20 376
YCL046W 3 3
MGR1 5 4
PDI1 3 2
YCL041C 33 82
YCL042W 18 199
GLK1 101 2171
GID7 44 560
ATG22 27 209
SRO9 28 491
GFD2 70 1088
GRX1 7 74
LSB5 27 387
MXR2 16 109
STE50 17 188
RRP7 0 0
HIS4 45 517
BIK1 72 677
RNQ1 24 252
FUS1 33 535
HBN1 9 69
FRM2 21 170
AGP1 69 1294
YCL023C 33 553
KCC4 118 1657
YCL022C 30 391
YCL021W-A 36 355
LEU2 50 975
NFS1 1 0
DCC1 10 109
BUD3 310 5334
YCL012C 34 270
GBP2 64 626
SGF29 26 636
ILV6 68 1741
STP22 31 671
YCL007C 10 104
VMA9 1 0
LDB16 40 508
PGS1 11 94
YCL002C 64 1144
RER1 38 178
YCL001W-A 15 47
YCL001W-B 12 41
YCR001W 23 401
CDC10 4 22
MRPL32 11 152
YCP4 32 467
CIT2 127 2814
YCR006C 173 2547
YCR007C 50 539
SAT4 65 1205
RVS161 8 23
ADY2 37 544
ADP1 115 2215
PGK1 3 6
YCR013C 5 54
POL4 61 751
YCR015C 33 479
YCR016W 20 161
CWH43 26 421
SRD1 17 93
YCR018C-A 12 102
MAK32 51 1025
PET18 32 264
MAK31 4 4
HTL1 0 0
HSP30 22 440
YCR022C 27 600
YCR023C 56 863
SLM5 4 4
