gene_name number_of_transposon_per_gene number_of_read_per_gene
YCL023C 8 36
KCC4 25 500
YCL022C 10 308
YCL021W-A 10 314
LEU2 21 488
NFS1 2 2
DCC1 13 120
BUD3 47 1234
YCL012C 6 11
GBP2 25 298
SGF29 18 148
ILV6 37 587
STP22 35 1283
YCL007C 4 13
VMA9 2 1
LDB16 22 195
PGS1 16 1079
YCL002C 28 269
RER1 13 69
YCL001W-A 3 5
YCL001W-B 6 93
YCR001W 8 129
CDC10 1 0
MRPL32 9 126
YCP4 12 59
CIT2 41 1704
YCR006C 82 1378
YCR007C 14 235
SAT4 20 385
RVS161 8 45
ADY2 10 144
ADP1 40 1173
PGK1 0 0
YCR013C 1 0
POL4 20 1155
YCR015C 12 473
YCR016W 1 0
CWH43 29 440
SRD1 4 21
YCR018C-A 7 456
MAK32 16 117
PET18 11 367
MAK31 1 0
HTL1 0 0
HSP30 14 503
YCR022C 22 409
YCR023C 19 256
SLM5 8 14
YCR024C-B 6 244
PMP1 0 0
YCR025C 22 1276
NPP1 30 1064
RHB1 6 42
FEN2 3 4
RIM1 2 2
SYP1 14 361
RPS14A 3 2
BPH1 43 527
SNT1 26 544
ELO2 8 86
RRP43 0 0
RBK1 6 14
PHO87 16 279
BUD5 4 3
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 8 32
YCR043C 6 12
PER1 7 31
RRT12 13 195
YCR045W-A 7 73
IMG1 5 5
BUD23 2 1
YCR047W-A 0 0
YCR049C 5 5
ARE1 21 217
YCR050C 4 13
YCR051W 15 1795
RSC6 4 3
THR4 3 12
CTR86 4 75
PWP2 7 10
YIH1 13 277
TAH1 6 11
YCR061W 35 1279
YCR064C 9 358
BUD31 2 2
HCM1 19 489
RAD18 6 157
SED4 16 137
ATG15 17 224
CPR4 1 0
IMG2 4 193
RSA4 4 3
SSK22 19 651
SOL2 5 38
ERS1 8 24
YCR075W-A 0 0
FUB1 6 15
PAT1 7 26
PTC6 3 9
SRB8 13 78
YCR081C-A 3 18
AHC2 3 2
TRX3 5 20
TUP1 6 8
YCR085W 1 0
CSM1 3 4
YCR087W 1 0
YCR087C-A 0 0
ABP1 14 468
FIG2 12 274
YCR090C 1 0
KIN82 9 36
MSH3 24 417
CDC39 12 18
CDC50 3 15
OCA4 2 3
YCR095W-A 1 0
HMRA2 0 0
HMRA1 9 132
YCR097W-A 0 0
GIT1 7 33
YCR099C 3 2
YCR100C 8 257
YCR101C 6 8
YCR102C 9 132
YCR102W-A 2 5
PAU3 3 12
ADH7 12 57
RDS1 11 31
AAD3 7 742
YCR108C 7 44
COS7 0 0
YDL247W-A 0 0
MPH2 6 12
SOR2 3 2
HXT15 2 1
THI13 8 12
AAD4 14 296
YDL242W 6 45
YDL241W 1 0
YDL240C-A 6 44
LRG1 9 28
ADY3 4 15
GUD1 11 252
AIM6 2 1
PHO13 1 0
YPD1 0 0
GYP7 6 5
MFG1 1 0
OST4 0 0
BRE4 9 154
PTP1 4 34
SSB1 1 0
YDL228C 0 0
HO 19 624
GCS1 2 1
SHS1 12 96
WHI4 15 603
HBT1 29 930
FMP45 4 113
YDL221W 10 95
CDC13 10 91
DTD1 0 0
YDL218W 6 54
TIM22 0 0
RRI1 10 410
GDH2 29 1191
PRR2 6 16
NOP6 1 0
SHR3 4 4
YDL211C 5 66
UGA4 8 164
CWC2 1 0
NHP2 0 0
GLE1 0 0
YDL206W 5 15
HEM3 2 1
RTN2 6 28
ACK1 5 46
MRPL11 2 3
TRM8 10 337
MGT1 2 8
YDL199C 11 330
GGC1 0 0
ASF2 10 166
YDL196W 23 578
SEC31 2 2
SNF3 12 100
NUS1 0 0
ARF1 2 1
RPL35A 0 0
UFD2 15 76
RBS1 5 53
PPH22 3 5
YDL187C 2 1
YDL186W 6 25
YDL185C-A 3 13
VMA1 7 13
RPL41A 0 0
YDL183C 4 5
LYS20 4 14
INH1 3 27
YDL180W 3 6
PCL9 1 0
DLD2 5 4
YDL177C 2 2
YDL176W 12 343
AIR2 5 9
DLD1 8 127
PAR32 3 62
YDL172C 0 0
GLT1 28 1669
UGA3 7 11
UGX2 5 58
SFA1 1 0
NRP1 6 16
FAP7 0 0
CDC36 1 0
CDC9 2 1
YDL163W 1 0
YDL162C 3 20
ENT1 4 45
MHF2 2 3
DHH1 3 4
YDL159W-A 3 2
STE7 7 94
YDL159C-B 0 0
YDL158C 1 0
YDL157C 1 0
CMR1 10 772
CLB3 6 9
MSH5 11 36
SAS10 1 0
YDL152W 1 0
BUD30 0 0
RPC53 1 0
ATG9 12 117
NOP14 8 25
RPN5 1 0
LDB17 4 26
COP1 6 6
YDL144C 5 24
CCT4 1 0
CRD1 7 525
BPL1 4 4
RPO21 6 5
SCM3 2 1
RGT2 5 16
ARF2 3 8
RPL35B 1 0
RDI1 4 12
PPH21 9 113
RPL41B 0 0
SRF1 0 0
CDC53 3 3
LYS21 6 81
STF1 0 0
RPP1B 3 3
YDL129W 4 37
VCX1 13 36
PCL2 9 56
CDC48 4 7
HNT1 5 52
YDL124W 5 16
SNA4 2 1
UBP1 5 6
YDL121C 4 10
YFH1 0 0
YDL119C 2 1
YDL118W 1 0
CYK3 2 2
NUP84 5 4
IWR1 2 1
YDL114W-A 0 0
YDL114W 1 0
ATG20 7 32
TRM3 13 214
RRP42 0 0
TMA17 3 2
YDL109C 11 413
KIN28 4 5
MSS2 4 28
PHO2 6 13
NSE4 0 0
QRI7 8 25
QRI1 2 1
POL3 3 3
DUN1 1 0
GET3 2 4
BUG1 9 335
SNU23 1 0
RPN6 4 3
OPI6 2 3
PMT1 6 104
YDL094C 5 25
PMT5 12 124
SRP14 6 12
UBX3 3 2
RAM1 3 2
NUR1 7 7
ASM4 6 9
LUC7 3 2
YDL086W 10 200
YDL086C-A 8 87
YDL085C-A 5 58
NDE2 7 83
SUB2 3 9
RPS16B 0 0
RPL13A 3 4
RPP1A 1 0
THI3 11 327
MRK1 9 18
MDH3 6 63
VAM6 9 86
RXT3 14 348
RPL31A 0 0
