gene_name number_of_transposon_per_gene number_of_read_per_gene
GIS1 16 1340
MSH6 16 342
GRX3 3 3
BMH2 8 43
TVP15 4 87
ARX1 4 4
YDR102C 2 8
STE5 3 2
SPO71 13 35
TMS1 11 97
ARP10 5 90
TMN2 3 33
TRS85 5 22
YDR109C 6 187
FOB1 8 66
ALT2 7 93
IRC2 1 0
PDS1 1 0
YDR114C 3 8
YDR115W 0 0
MRPL1 2 8
TMA64 5 10
APC4 5 59
YDR118W-A 2 1
VBA4 4 85
COX26 1 0
TRM1 3 5
DPB4 2 1
KIN1 5 4
INO2 0 0
YDR124W 7 26
ECM18 4 30
SWF1 16 586
ARO1 10 20
MTC5 15 156
SAC6 4 3
FIN1 4 19
YDR131C 6 31
YDR132C 8 20
YDR133C 2 24
YCF1 13 31
VPS61 11 130
RGP1 4 9
HPR1 6 31
RUB1 0 0
MTQ2 1 0
DOP1 10 11
PEX7 8 128
SAN1 5 12
MKC7 4 4
TAF12 0 0
SWI5 7 120
EKI1 6 65
KGD2 0 0
YDR149C 3 4
NUM1 21 524
CTH1 0 0
GIR2 7 21
ENT5 6 19
YDR154C 2 1
CPR1 4 5
RPA14 1 0
YDR157W 18 546
HOM2 6 16
SAC3 6 18
SSY1 1 0
YDR161W 0 0
NBP2 0 0
CWC15 3 5
SEC1 5 4
TRM82 6 35
SEC5 10 73
TAF10 1 0
CDC37 3 2
STB3 1 0
YDR169C-A 4 25
SEC7 9 13
HSP42 2 12
SUP35 4 6
ARG82 1 0
HMO1 0 0
RSM24 3 5
NGG1 6 37
UBC1 0 0
SDH4 1 0
CSN9 3 8
YDR179W-A 0 0
SCC2 3 2
SAS4 7 26
CDC1 3 7
YDR182W-A 0 0
PLP1 0 0
YDR183C-A 1 0
ATC1 1 0
UPS3 2 5
YDR186C 12 148
YDR187C 1 0
CCT6 3 3
SLY1 2 4
RVB1 1 0
HST4 5 5
NUP42 6 7
YDR193W 3 2
MSS116 4 4
YDR194W-A 1 0
REF2 2 1
CAB5 1 0
CBS2 1 0
RKM2 4 62
YDR199W 3 20
VPS64 10 32
SPC19 0 0
RAV2 0 0
YDR203W 0 0
COQ4 5 45
MSC2 3 9
EBS1 3 2
UME6 8 26
MSS4 3 3
YDR209C 1 0
YDR210W 1 0
GCD6 5 4
TCP1 3 2
UPC2 8 133
AHA1 2 5
YDR215C 16 3584
ADR1 11 343
RAD9 18 237
SPR28 2 1
MFB1 1 0
YDR220C 4 60
GTB1 9 17
YDR222W 15 527
CRF1 7 14
HTB1 0 0
HTA1 0 0
ADK1 5 5
SIR4 13 35
PCF11 2 1
IVY1 5 57
YDR230W 9 731
COX20 10 364
HEM1 1 0
RTN1 4 20
LYS4 13 193
PRP42 1 0
FMN1 0 0
MRPL7 3 2
SEC26 9 13
YDR239C 5 174
SNU56 1 0
BUD26 6 56
AMD2 10 126
PRP28 4 3
PEX5 3 2
MNN10 1 0
TRS23 3 2
YDR246W-A 15 547
VHS1 6 35
YDR248C 2 1
YDR249C 3 82
YDR250C 6 121
PAM1 12 171
BTT1 2 1
MET32 4 9
CHL4 2 2
RMD5 8 332
CTA1 12 84
RKM4 2 1
HSP78 11 63
YAP6 7 501
SWM1 2 34
EXG2 14 615
YDR262W 3 16
DIN7 4 21
AKR1 7 25
PEX10 1 0
HEL2 4 97
CIA1 2 1
MSW1 6 80
YDR269C 5 13
CCC2 18 1012
YDR271C 5 265
GLO2 3 12
DON1 4 8
YDR274C 19 537
BSC2 7 22
PMP3 2 1
MTH1 3 3
YDR278C 4 25
RNH202 4 4
RRP45 4 9
PHM6 0 0
YDR282C 2 6
GCN2 13 24
DPP1 5 46
ZIP1 4 4
YDR286C 5 6
INM2 2 1
NSE3 1 0
RTT103 0 0
YDR290W 3 13
HRQ1 18 562
SRP101 3 2
SSD1 21 2233
DPL1 7 449
HDA2 5 138
MHR1 1 0
SUR2 8 8
ATP5 3 7
BFR2 0 0
PRO1 2 1
CFT1 4 3
GPI11 0 0
RSC3 1 0
CPR5 3 19
HNT2 3 2
YDR306C 7 28
PMT7 5 19
SRB7 1 0
GIC2 11 43
SUM1 7 9
TFB1 2 1
SSF2 3 3
PIB1 6 460
RAD34 5 77
IPK1 1 0
OMS1 8 41
HIM1 5 47
MCM21 3 2
YFT2 7 145
SWA2 3 2
DAD4 1 0
YDR320W-B 2 1
ASP1 2 1
MRPL35 2 1
TIM11 0 0
PEP7 5 7
UTP4 3 2
YCG1 11 19
YSP2 10 131
YDR327W 0 0
SKP1 0 0
PEX3 2 1
UBX5 7 30
GPI8 4 4
IRC3 2 18
RQC1 4 139
SWR1 16 473
MSN5 11 49
YDR336W 9 211
MRPS28 2 9
YDR338C 10 226
FCF1 0 0
YDR340W 5 38
YDR341C 3 2
HXT7 2 1
HXT6 2 1
YDR344C 6 297
HXT3 8 123
SVF1 5 46
MRP1 2 1
PAL1 14 292
YPS7 2 1
ATP22 1 0
SBE2 14 538
YPQ2 1 0
TRR1 0 0
TRP4 4 4
YDR354C-A 0 0
