gene_name number_of_transposon_per_gene number_of_read_per_gene
TDP1 18 1049
YBR223W-A 2 1
YBR224W 9 56
YBR225W 16 126
YBR226C 0 0
MCX1 5 8
SLX1 6 38
ROT2 22 901
OM14 1 0
YBR230W-A 2 4
SWC5 7 34
YBR232C 1 0
PBP2 4 4
DAD3 0 0
ARC40 2 1
VHC1 16 214
ABD1 5 10
PRP5 4 5
YBR238C 9 110
ERT1 11 41
THI2 12 135
YBR241C 25 959
YBR242W 3 7
ALG7 1 0
GPX2 4 16
ISW1 19 185
RRT2 5 4
ENP1 0 0
HIS7 8 165
ARO4 4 20
SPO23 5 40
MRPS5 4 4
DUT1 1 0
SRB6 0 0
TRS20 1 0
MTC4 18 122
YBR255C-A 1 0
RIB5 0 0
POP4 0 0
SHG1 5 671
YBR259W 7 443
RGD1 11 30
TAE1 7 133
MIC12 2 1
SHM1 7 36
YPT10 0 0
TSC10 3 2
REI1 2 1
SLM6 1 0
MRPL37 1 0
SDH8 3 2
BIT2 4 6
EFM2 13 55
HSM3 3 24
UBX7 2 2
CHK1 3 2
RIF1 29 660
PPS1 7 31
YBR277C 13 205
DPB3 7 21
PAF1 5 137
SAF1 11 116
DUG2 17 150
MRPL27 2 1
SSH1 4 4
YBR284W 15 163
YBR285W 2 2
APE3 21 3232
YBR287W 6 12
APM3 3 4
SNF5 9 8
BSD2 5 6
CTP1 9 259
YBR292C 4 5
VBA2 14 189
SUL1 13 260
PCA1 31 2199
PHO89 21 735
YBR296C-A 2 4
MAL33 9 461
MAL31 9 99
YBR298C-A 2 2
MAL32 0 0
YBR300C 2 2
PAU24 2 1
COS2 2 1
YCL076W 2 2
GEX1 1 0
VBA3 0 0
YCL068C 2 1
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 1 0
CHA1 5 7
VAC17 8 109
MRC1 9 52
KRR1 0 0
FYV5 3 2
ADF1 2 1
MIC10 3 12
PRD1 15 155
PEX34 0 0
KAR4 4 18
RDT1 0 0
SPB1 6 6
PBN1 5 7
LRE1 19 604
APA1 7 59
YCL049C 6 18
YCL048W-A 4 15
SPS22 19 570
POF1 4 56
EMC1 8 19
YCL046W 2 1
MGR1 16 128
PDI1 8 13
YCL041C 5 16
YCL042W 3 3
GLK1 33 4267
GID7 24 317
ATG22 12 178
SRO9 8 185
GFD2 30 993
GRX1 11 187
LSB5 9 184
MXR2 5 38
STE50 11 292
RRP7 3 3
HIS4 27 711
BIK1 31 450
RNQ1 7 23
FUS1 9 53
HBN1 4 4
FRM2 8 127
AGP1 31 352
YCL023C 9 237
KCC4 30 816
YCL022C 5 51
YCL021W-A 7 20
LEU2 13 149
NFS1 3 2
DCC1 9 100
BUD3 56 1784
YCL012C 4 21
GBP2 26 356
SGF29 23 322
ILV6 21 226
STP22 21 481
YCL007C 3 9
VMA9 2 1
LDB16 15 194
PGS1 16 140
YCL002C 23 1233
RER1 7 30
YCL001W-A 1 0
YCL001W-B 8 97
YCR001W 7 50
CDC10 1 0
MRPL32 7 46
YCP4 9 33
CIT2 20 138
YCR006C 69 1372
YCR007C 22 495
SAT4 15 192
RVS161 8 52
ADY2 17 521
ADP1 27 550
PGK1 1 0
YCR013C 2 1
POL4 18 153
YCR015C 14 133
YCR016W 6 10
CWH43 28 947
SRD1 4 3
YCR018C-A 6 152
MAK32 14 176
PET18 8 14
MAK31 2 2
HTL1 0 0
HSP30 15 375
YCR022C 11 35
YCR023C 22 544
SLM5 9 80
YCR024C-B 3 3
PMP1 1 0
YCR025C 22 220
NPP1 35 1256
RHB1 7 70
FEN2 7 9
RIM1 0 0
SYP1 17 923
RPS14A 1 0
BPH1 37 922
SNT1 21 186
ELO2 4 12
RRP43 1 0
RBK1 8 87
PHO87 19 652
BUD5 8 11
YCR038W-A 1 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 2 1
TAF2 7 9
YCR043C 7 10
PER1 5 4
RRT12 17 1002
YCR045W-A 5 225
IMG1 6 59
BUD23 3 2
YCR047W-A 0 0
YCR049C 11 1739
ARE1 28 1504
