gene_name number_of_transposon_per_gene number_of_read_per_gene
HMRA2 0 0
HMRA1 2 4
YCR097W-A 0 0
GIT1 17 211
YCR099C 1 0
YCR100C 17 154
YCR101C 3 39
YCR102C 15 239
YCR102W-A 1 0
PAU3 2 1
ADH7 25 331
RDS1 21 566
AAD3 18 422
YCR108C 7 43
COS7 0 0
YDL247W-A 0 0
MPH2 1 0
SOR2 1 0
HXT15 2 2
THI13 6 9
AAD4 11 109
YDL242W 3 52
YDL241W 1 0
YDL240C-A 6 21
LRG1 13 395
ADY3 19 227
GUD1 9 94
AIM6 5 26
PHO13 3 23
YPD1 1 0
GYP7 16 176
MFG1 3 5
OST4 0 0
BRE4 16 120
PTP1 6 63
SSB1 6 85
YDL228C 6 85
HO 35 506
GCS1 2 6
SHS1 3 6
WHI4 8 208
HBT1 27 462
FMP45 15 387
YDL221W 11 140
CDC13 15 140
DTD1 0 0
YDL218W 10 40
TIM22 1 0
RRI1 7 72
GDH2 19 292
PRR2 25 388
NOP6 2 23
SHR3 2 1
YDL211C 5 48
UGA4 14 214
CWC2 2 1
NHP2 1 0
GLE1 3 14
YDL206W 7 120
HEM3 5 13
RTN2 21 131
ACK1 3 3
MRPL11 6 46
TRM8 7 20
MGT1 6 53
YDL199C 1 0
GGC1 1 0
ASF2 28 294
YDL196W 16 91
SEC31 1 0
SNF3 7 41
NUS1 1 0
ARF1 1 0
RPL35A 1 0
UFD2 25 117
RBS1 4 17
PPH22 12 102
YDL187C 2 1
YDL186W 2 3
YDL185C-A 5 6
VMA1 6 22
RPL41A 3 20
YDL183C 6 153
LYS20 20 119
INH1 2 4
YDL180W 3 9
PCL9 7 44
DLD2 12 66
YDL177C 5 86
YDL176W 6 157
AIR2 7 110
DLD1 23 590
PAR32 7 37
YDL172C 2 9
GLT1 35 396
UGA3 6 55
UGX2 5 38
SFA1 10 66
NRP1 6 12
FAP7 1 0
CDC36 2 2
CDC9 2 1
YDL163W 0 0
YDL162C 15 325
ENT1 5 15
MHF2 0 0
DHH1 5 33
YDL159W-A 10 64
STE7 17 152
YDL159C-B 0 0
YDL158C 6 21
YDL157C 4 24
CMR1 11 109
CLB3 9 36
MSH5 19 188
SAS10 0 0
YDL152W 2 6
BUD30 2 2
RPC53 4 25
ATG9 19 253
NOP14 14 72
RPN5 2 2
LDB17 2 1
COP1 10 70
YDL144C 10 86
CCT4 1 0
CRD1 3 5
BPL1 8 18
RPO21 27 237
SCM3 1 0
RGT2 17 156
ARF2 12 138
RPL35B 0 0
RDI1 6 17
PPH21 14 82
RPL41B 0 0
SRF1 6 40
CDC53 6 30
LYS21 13 209
STF1 5 4
RPP1B 2 10
YDL129W 4 32
VCX1 11 154
PCL2 12 263
CDC48 7 15
HNT1 8 63
YDL124W 8 40
SNA4 4 4
UBP1 7 23
YDL121C 4 10
YFH1 0 0
YDL119C 10 189
YDL118W 2 1
CYK3 10 46
NUP84 7 20
IWR1 8 81
YDL114W-A 0 0
YDL114W 18 185
ATG20 6 97
TRM3 27 201
RRP42 3 7
TMA17 6 149
YDL109C 9 67
KIN28 4 21
MSS2 7 98
PHO2 20 153
NSE4 1 0
QRI7 7 24
QRI1 2 1
POL3 14 63
DUN1 12 31
GET3 2 2
BUG1 6 42
SNU23 3 14
RPN6 5 8
OPI6 5 25
PMT1 20 205
YDL094C 21 267
PMT5 16 102
SRP14 7 15
UBX3 8 31
RAM1 0 0
NUR1 10 59
ASM4 9 68
LUC7 1 0
YDL086W 14 101
YDL086C-A 11 68
YDL085C-A 0 0
NDE2 15 281
SUB2 2 1
RPS16B 0 0
RPL13A 1 0
RPP1A 0 0
THI3 18 118
MRK1 31 320
MDH3 18 284
VAM6 9 31
RXT3 6 25
RPL31A 0 0
BRE1 8 23
YDL073W 11 102
YET3 2 1
YDL071C 12 98
BDF2 11 33
CBS1 3 3
YDL068W 2 1
COX9 1 0
IDP1 11 72
PEX19 11 25
UBC9 2 1
SYO1 12 37
YDL062W 3 2
RPS29B 1 0
TSR1 4 5
RAD59 6 24
USO1 16 191
YDL057W 15 212
MBP1 8 116
PSA1 2 1
MCH1 17 122
PBP4 5 9
SLC1 10 78
LHP1 9 27
YDL050C 2 1
KNH1 10 160
STP4 23 325
SIT4 9 54
NPC2 7 16
MRP10 2 1
FAD1 0 0
MTF2 7 26
PRP11 0 0
SIR2 21 167
YDL041W 7 49
NAT1 18 263
PRM7 14 99
BSC1 4 12
PUS9 16 123
GPR1 8 80
YDL034W 1 0
SLM3 23 361
YDL032W 9 43
DBP10 1 0
PRP9 7 24
ARP2 1 0
MPS1 10 66
YDL027C 13 119
YDL026W 4 3
