gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR196C-A 8 168
YBR196C-B 2 1
YBR197C 9 50
TAF5 1 0
KTR4 6 20
BEM1 5 356
YBR200W-A 2 1
DER1 8 77
YBR201C-A 0 0
MCM7 4 165
COS111 10 61
LDH1 8 392
KTR3 6 26
YBR206W 4 25
FTH1 10 110
DUR1,2 23 443
YBR209W 5 43
ERV15 2 1
AME1 0 0
NGR1 17 174
MET8 11 660
SDS24 4 86
HPC2 1 0
YBP1 7 17
ATG12 1 0
PYC2 6 62
YBR219C 25 502
YBR220C 14 150
PDB1 8 420
YBR221W-A 6 38
PCS60 4 4
TDP1 7 28
YBR223W-A 3 4
YBR224W 7 446
YBR225W 17 73
YBR226C 0 0
MCX1 4 10
SLX1 4 7
ROT2 12 72
OM14 5 17
YBR230W-A 9 418
SWC5 4 18
YBR232C 2 11
PBP2 5 14
DAD3 0 0
ARC40 3 2
VHC1 14 512
ABD1 0 0
PRP5 4 4
YBR238C 11 136
ERT1 23 2157
THI2 10 326
YBR241C 18 341
YBR242W 9 414
ALG7 1 0
GPX2 1 0
ISW1 19 310
RRT2 10 50
ENP1 0 0
HIS7 3 7
ARO4 3 5
SPO23 6 84
MRPS5 3 4
DUT1 1 0
SRB6 0 0
TRS20 2 2
MTC4 15 135
YBR255C-A 7 43
RIB5 0 0
POP4 0 0
SHG1 0 0
YBR259W 8 248
RGD1 3 2
TAE1 3 46
MIC12 0 0
SHM1 6 26
YPT10 5 21
TSC10 1 0
REI1 2 53
SLM6 0 0
MRPL37 0 0
SDH8 1 0
BIT2 8 452
EFM2 3 5
HSM3 2 1
UBX7 14 157
CHK1 6 6
RIF1 18 174
PPS1 10 66
YBR277C 3 9
DPB3 2 8
PAF1 3 5
SAF1 13 329
DUG2 5 9
MRPL27 2 1
SSH1 5 11
YBR284W 14 162
YBR285W 0 0
APE3 16 379
YBR287W 8 270
APM3 6 102
SNF5 6 8
BSD2 2 1
CTP1 13 198
YBR292C 3 18
VBA2 11 173
SUL1 21 1961
PCA1 21 430
PHO89 8 138
YBR296C-A 4 121
MAL33 11 319
MAL31 11 229
YBR298C-A 4 8
MAL32 4 5
YBR300C 2 29
PAU24 1 0
COS2 1 0
YCL076W 0 0
GEX1 4 11
VBA3 0 0
YCL068C 1 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 2 39
VAC17 3 4
MRC1 6 14
KRR1 1 0
FYV5 9 51
ADF1 4 9
MIC10 7 114
PRD1 7 98
PEX34 4 21
KAR4 2 5
RDT1 1 0
SPB1 10 640
PBN1 3 4
LRE1 9 174
APA1 5 11
YCL049C 6 39
YCL048W-A 0 0
SPS22 11 90
POF1 1 0
EMC1 7 22
YCL046W 0 0
MGR1 14 78
PDI1 2 1
YCL041C 4 3
YCL042W 8 244
GLK1 42 2267
GID7 24 1171
ATG22 6 77
SRO9 8 141
GFD2 24 399
GRX1 3 13
LSB5 13 537
MXR2 6 36
STE50 10 44
RRP7 1 0
HIS4 27 523
BIK1 28 249
RNQ1 10 532
FUS1 13 273
HBN1 4 5
FRM2 11 889
AGP1 26 662
YCL023C 9 92
KCC4 29 1082
YCL022C 4 21
YCL021W-A 7 63
LEU2 14 96
NFS1 8 139
DCC1 3 3
BUD3 66 3084
YCL012C 7 41
GBP2 13 188
SGF29 14 156
ILV6 13 159
STP22 20 491
YCL007C 3 2
VMA9 0 0
LDB16 13 322
PGS1 8 232
YCL002C 16 219
RER1 10 115
YCL001W-A 4 5
YCL001W-B 2 1
YCR001W 18 1064
CDC10 1 0
MRPL32 9 183
YCP4 8 207
CIT2 32 1431
YCR006C 65 1329
YCR007C 7 16
SAT4 12 295
RVS161 7 30
ADY2 15 763
ADP1 31 1431
PGK1 4 11
YCR013C 3 9
POL4 16 288
YCR015C 11 200
YCR016W 6 30
CWH43 22 492
SRD1 2 1
YCR018C-A 7 108
MAK32 11 194
PET18 7 163
MAK31 3 13
HTL1 0 0
HSP30 12 158
YCR022C 13 661
YCR023C 12 651
SLM5 2 13
YCR024C-B 3 16
PMP1 1 0
YCR025C 15 473
NPP1 26 522
RHB1 2 6
FEN2 5 42
RIM1 3 8
SYP1 10 163
RPS14A 3 19
BPH1 31 1073
SNT1 15 261
ELO2 3 4
RRP43 0 0
RBK1 17 338
PHO87 16 418
BUD5 4 10
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 0 0
TAF2 3 3
YCR043C 5 258
PER1 4 57
RRT12 11 223
YCR045W-A 1 0
IMG1 3 2
BUD23 3 6
YCR047W-A 0 0
YCR049C 3 6
ARE1 22 1185
YCR050C 4 260
YCR051W 7 525
RSC6 0 0
THR4 1 0
CTR86 5 18
PWP2 4 18
YIH1 7 13
TAH1 5 10
YCR061W 43 2879
YCR064C 8 351
BUD31 1 0
HCM1 9 167
RAD18 2 1
SED4 12 304
ATG15 13 680
CPR4 12 178
IMG2 2 1
RSA4 3 5
SSK22 28 1360
SOL2 8 98
ERS1 7 71
YCR075W-A 0 0
FUB1 4 10
PAT1 5 17
PTC6 6 27
SRB8 11 46
YCR081C-A 4 7
AHC2 1 0
TRX3 4 4
TUP1 2 2
YCR085W 4 9
CSM1 1 0
YCR087W 2 14
YCR087C-A 2 14
ABP1 4 3
FIG2 11 516
YCR090C 5 48
KIN82 14 239
MSH3 8 94
CDC39 10 117
CDC50 0 0
OCA4 1 0
YCR095W-A 0 0
HMRA2 0 0
