gene_name number_of_transposon_per_gene number_of_read_per_gene
EFM2 15 239
HSM3 11 122
UBX7 7 76
CHK1 8 151
RIF1 51 1462
PPS1 19 251
YBR277C 6 21
DPB3 7 63
PAF1 4 4
SAF1 11 142
DUG2 29 332
MRPL27 0 0
SSH1 9 35
YBR284W 29 725
YBR285W 1 0
APE3 14 425
YBR287W 12 55
APM3 2 1
SNF5 9 17
BSD2 4 47
CTP1 27 688
YBR292C 4 6
VBA2 11 41
SUL1 20 232
PCA1 37 672
PHO89 7 44
YBR296C-A 1 0
MAL33 19 160
MAL31 10 210
YBR298C-A 6 128
MAL32 5 6
YBR300C 2 1
PAU24 1 0
COS2 1 0
YCL076W 3 8
GEX1 5 84
VBA3 2 6
YCL068C 4 33
HMLALPHA2 0 0
HMLALPHA1 1 0
YCL065W 0 0
CHA1 4 52
VAC17 14 393
MRC1 32 287
KRR1 2 4
FYV5 14 422
ADF1 9 66
MIC10 5 9
PRD1 28 280
PEX34 3 11
KAR4 10 136
RDT1 2 2
SPB1 8 74
PBN1 5 7
LRE1 32 1040
APA1 15 527
YCL049C 26 198
YCL048W-A 4 7
SPS22 31 950
POF1 23 465
EMC1 25 159
YCL046W 5 6
MGR1 34 656
PDI1 7 17
YCL041C 23 75
YCL042W 25 263
GLK1 109 3568
GID7 57 1481
ATG22 53 1413
SRO9 38 1261
GFD2 105 3757
GRX1 10 613
LSB5 60 1762
MXR2 17 134
STE50 40 949
RRP7 2 1
HIS4 81 1882
BIK1 80 1944
RNQ1 27 706
FUS1 72 1855
HBN1 16 169
FRM2 42 1479
AGP1 110 3878
YCL023C 46 1454
KCC4 219 7829
YCL022C 68 2125
YCL021W-A 48 1370
LEU2 103 2780
NFS1 1 0
DCC1 22 336
BUD3 565 17518
YCL012C 77 981
GBP2 108 3116
SGF29 34 584
ILV6 116 3842
STP22 29 1111
YCL007C 17 901
VMA9 12 113
LDB16 109 3370
PGS1 20 939
YCL002C 168 5584
RER1 0 0
YCL001W-A 34 248
YCL001W-B 30 481
YCR001W 55 1646
CDC10 7 62
MRPL32 23 425
YCP4 75 2268
CIT2 374 32218
YCR006C 291 12871
YCR007C 106 5255
SAT4 194 9928
RVS161 26 355
ADY2 104 3935
ADP1 233 11324
PGK1 2 1
YCR013C 4 8
POL4 120 3096
YCR015C 47 2199
YCR016W 38 696
CWH43 42 771
SRD1 21 287
YCR018C-A 21 1860
MAK32 78 3400
PET18 49 1535
MAK31 11 101
HTL1 3 4
HSP30 32 1089
YCR022C 44 1394
YCR023C 94 2301
SLM5 7 34
YCR024C-B 16 402
PMP1 4 7
YCR025C 41 996
NPP1 82 1883
RHB1 10 61
FEN2 6 52
RIM1 1 0
SYP1 31 401
RPS14A 9 93
BPH1 93 2066
SNT1 41 642
ELO2 16 470
RRP43 2 1
RBK1 34 768
PHO87 56 1451
BUD5 20 178
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 8 29
YCR043C 4 9
PER1 4 7
RRT12 87 1869
YCR045W-A 42 811
IMG1 2 1
BUD23 4 4
YCR047W-A 0 0
YCR049C 11 382
ARE1 70 2817
YCR050C 10 103
YCR051W 9 60
RSC6 2 1
THR4 1 0
CTR86 9 229
PWP2 6 53
YIH1 51 1800
TAH1 7 132
YCR061W 35 289
YCR064C 22 894
BUD31 4 14
HCM1 51 1235
RAD18 7 37
SED4 47 603
ATG15 46 507
CPR4 24 550
IMG2 0 0
RSA4 1 0
SSK22 31 436
SOL2 14 212
ERS1 12 134
YCR075W-A 1 0
FUB1 8 82
PAT1 0 0
PTC6 16 113
SRB8 15 93
YCR081C-A 2 21
AHC2 5 11
TRX3 7 63
TUP1 2 31
YCR085W 6 19
CSM1 4 17
YCR087W 13 233
YCR087C-A 13 233
ABP1 25 445
FIG2 28 536
YCR090C 10 178
KIN82 22 885
MSH3 54 644
CDC39 19 125
CDC50 5 18
OCA4 8 18
YCR095W-A 8 48
HMRA2 0 0
HMRA1 0 0
YCR097W-A 1 0
GIT1 23 390
YCR099C 5 37
YCR100C 12 458
YCR101C 5 40
YCR102C 22 227
YCR102W-A 2 1
PAU3 8 25
ADH7 36 705
RDS1 25 618
AAD3 27 461
YCR108C 6 23
COS7 5 4
YDL247W-A 0 0
MPH2 1 0
SOR2 3 2
HXT15 12 102
THI13 14 89
AAD4 30 468
YDL242W 11 92
YDL241W 2 1
YDL240C-A 8 60
LRG1 23 276
ADY3 31 640
GUD1 5 51
AIM6 4 4
PHO13 3 6
YPD1 4 9
GYP7 20 295
MFG1 9 52
OST4 0 0
BRE4 19 570
PTP1 11 65
SSB1 7 50
YDL228C 4 13
HO 36 586
GCS1 1 0
SHS1 8 62
WHI4 20 405
HBT1 41 377
FMP45 6 32
YDL221W 26 713
CDC13 21 390
DTD1 3 3
YDL218W 8 26
TIM22 1 0
RRI1 7 37
GDH2 31 820
PRR2 27 789
NOP6 12 265
SHR3 0 0
YDL211C 20 232
UGA4 20 164
CWC2 1 0
NHP2 0 0
GLE1 3 2
YDL206W 18 465
HEM3 5 5
RTN2 6 55
ACK1 15 558
MRPL11 3 2
TRM8 11 72
MGT1 7 52
YDL199C 14 307
GGC1 0 0
ASF2 23 436
YDL196W 16 158
SEC31 4 15
SNF3 10 172
NUS1 1 0
