gene_name number_of_transposon_per_gene number_of_read_per_gene
THI13 2 1
AAD4 14 90
YDL242W 10 215
YDL241W 4 11
YDL240C-A 16 419
LRG1 20 163
ADY3 8 160
GUD1 18 311
AIM6 1 0
PHO13 3 3
YPD1 2 1
GYP7 31 913
MFG1 11 74
OST4 0 0
BRE4 21 359
PTP1 15 222
SSB1 9 22
YDL228C 3 7
HO 27 219
GCS1 3 15
SHS1 7 139
WHI4 15 218
HBT1 50 1168
FMP45 20 397
YDL221W 33 544
CDC13 16 385
DTD1 0 0
YDL218W 11 74
TIM22 3 18
RRI1 8 81
GDH2 33 905
PRR2 13 142
NOP6 6 80
SHR3 2 1
YDL211C 7 24
UGA4 13 204
CWC2 4 10
NHP2 1 0
GLE1 6 19
YDL206W 6 80
HEM3 3 2
RTN2 16 613
ACK1 18 254
MRPL11 5 150
TRM8 9 57
MGT1 4 13
YDL199C 18 474
GGC1 0 0
ASF2 22 338
YDL196W 18 190
SEC31 2 7
SNF3 11 41
NUS1 0 0
ARF1 1 0
RPL35A 1 0
UFD2 16 317
RBS1 10 85
PPH22 13 81
YDL187C 6 104
YDL186W 7 130
YDL185C-A 7 15
VMA1 8 13
RPL41A 1 0
YDL183C 9 210
LYS20 15 330
INH1 2 8
YDL180W 12 121
PCL9 7 36
DLD2 14 213
YDL177C 6 85
YDL176W 11 298
AIR2 14 328
DLD1 28 673
PAR32 8 18
YDL172C 5 11
GLT1 64 2625
UGA3 13 99
UGX2 9 64
SFA1 16 292
NRP1 11 114
FAP7 3 2
CDC36 3 5
CDC9 4 6
YDL163W 2 4
YDL162C 18 524
ENT1 10 26
MHF2 1 0
DHH1 7 18
YDL159W-A 11 113
STE7 21 335
YDL159C-B 2 1
YDL158C 4 48
YDL157C 1 0
CMR1 16 305
CLB3 18 704
MSH5 34 870
SAS10 0 0
YDL152W 6 89
BUD30 0 0
RPC53 0 0
ATG9 15 381
NOP14 8 9
RPN5 1 0
LDB17 10 208
COP1 2 1
YDL144C 19 265
CCT4 1 0
CRD1 9 120
BPL1 1 0
RPO21 8 8
SCM3 2 1
RGT2 23 496
ARF2 8 108
RPL35B 3 15
RDI1 10 249
PPH21 9 90
RPL41B 1 0
SRF1 10 98
CDC53 6 24
LYS21 8 157
STF1 6 18
RPP1B 2 1
YDL129W 4 96
VCX1 18 457
PCL2 11 179
CDC48 7 24
HNT1 3 4
YDL124W 20 374
SNA4 9 185
UBP1 18 272
YDL121C 3 2
YFH1 2 2
YDL119C 8 50
YDL118W 3 6
CYK3 17 380
NUP84 3 12
IWR1 4 72
YDL114W-A 0 0
YDL114W 17 208
ATG20 16 459
TRM3 33 367
RRP42 1 0
TMA17 6 18
YDL109C 19 478
KIN28 3 13
MSS2 11 90
PHO2 13 312
NSE4 1 0
QRI7 5 71
QRI1 2 1
POL3 5 110
DUN1 7 21
GET3 10 293
BUG1 9 109
SNU23 3 33
RPN6 4 3
OPI6 8 175
PMT1 25 804
YDL094C 17 434
PMT5 20 603
SRP14 0 0
UBX3 8 104
RAM1 5 4
NUR1 9 95
ASM4 11 62
LUC7 2 4
YDL086W 23 552
YDL086C-A 10 119
YDL085C-A 3 5
NDE2 19 546
SUB2 2 1
RPS16B 4 4
RPL13A 1 0
RPP1A 0 0
THI3 12 131
MRK1 43 1497
MDH3 12 242
VAM6 13 73
RXT3 20 421
RPL31A 0 0
BRE1 8 16
YDL073W 25 368
YET3 7 33
YDL071C 12 235
BDF2 10 75
CBS1 8 258
YDL068W 1 0
COX9 1 0
IDP1 15 91
PEX19 10 239
UBC9 2 1
SYO1 10 68
YDL062W 1 0
RPS29B 1 0
TSR1 5 7
RAD59 12 142
USO1 16 203
YDL057W 25 409
MBP1 16 599
PSA1 3 4
MCH1 36 678
PBP4 6 21
SLC1 22 321
LHP1 18 114
YDL050C 6 36
KNH1 33 904
STP4 48 1320
SIT4 5 8
NPC2 11 205
MRP10 3 16
FAD1 1 0
MTF2 15 109
PRP11 1 0
SIR2 20 580
YDL041W 8 277
NAT1 22 339
PRM7 21 436
BSC1 10 88
PUS9 23 451
GPR1 35 626
YDL034W 8 30
SLM3 34 760
YDL032W 8 45
DBP10 1 0
PRP9 2 1
ARP2 0 0
MPS1 9 61
YDL027C 15 349
YDL026W 16 378
RTK1 23 247
YDL025W-A 1 0
DIA3 20 451
YDL022C-A 5 81
YDL023C 14 248
GPD1 37 925
GPM2 38 1301
RPN4 15 227
OSH2 73 2779
ERP3 18 374
CDC7 5 11
YDL016C 1 0
TSC13 0 0
NOP1 1 0
SLX5 3 10
YDL012C 19 614
YDL011C 10 200
GRX6 17 677
YDL009C 12 557
APC11 4 4
YDL007C-A 6 56
RPT2 4 4
PTC1 11 286
MED2 27 457
ATP16 6 59
MCD1 7 38
NHP10 22 218
RMD1 90 3628
NTH1 117 4734
YRB1 1 0
RCR2 50 2139
YDR003W-A 4 25
RAD57 35 482
MAF1 24 660
SOK1 77 3331
TRP1 667 146869
YDR008C 246 25460
GAL3 66 2032
YDR010C 69 3282
SNQ2 107 3951
RPL4B 12 265
PSF1 0 0
RAD61 25 736
HED1 7 55
YDR015C 4 37
DAD1 0 0
KCS1 48 1066
YDR018C 49 1088
GCV1 26 695
DAS2 31 726
FAL1 5 5
ATG31 18 786
SES1 3 2
FYV1 15 180
