gene_name number_of_transposon_per_gene number_of_read_per_gene
YCR087W 3 8
YCR087C-A 3 8
ABP1 18 123
FIG2 24 311
YCR090C 2 1
KIN82 24 308
MSH3 26 1041
CDC39 18 143
CDC50 5 68
OCA4 6 17
YCR095W-A 1 0
HMRA2 0 0
HMRA1 8 39
YCR097W-A 1 0
GIT1 11 53
YCR099C 17 527
YCR100C 13 84
YCR101C 5 234
YCR102C 14 287
YCR102W-A 0 0
PAU3 1 0
ADH7 21 638
RDS1 18 783
AAD3 18 606
YCR108C 10 115
COS7 2 2
YDL247W-A 0 0
MPH2 1 0
SOR2 1 0
HXT15 8 1014
THI13 8 37
AAD4 17 405
YDL242W 3 11
YDL241W 2 1
YDL240C-A 9 126
LRG1 12 242
ADY3 14 184
GUD1 15 281
AIM6 2 15
PHO13 3 12
YPD1 3 6
GYP7 21 375
MFG1 9 174
OST4 0 0
BRE4 17 477
PTP1 10 60
SSB1 8 42
YDL228C 3 19
HO 31 643
GCS1 1 0
SHS1 16 391
WHI4 32 1446
HBT1 46 1985
FMP45 21 1107
YDL221W 25 414
CDC13 15 116
DTD1 1 0
YDL218W 16 307
TIM22 2 3
RRI1 3 2
GDH2 23 1498
PRR2 22 941
NOP6 7 122
SHR3 0 0
YDL211C 12 644
UGA4 11 90
CWC2 0 0
NHP2 0 0
GLE1 1 0
YDL206W 10 65
HEM3 2 2
RTN2 10 240
ACK1 15 319
MRPL11 6 75
TRM8 4 7
MGT1 11 614
YDL199C 5 29
GGC1 2 1
ASF2 17 177
YDL196W 26 179
SEC31 5 6
SNF3 9 28
NUS1 0 0
ARF1 3 3
RPL35A 0 0
UFD2 11 229
RBS1 5 13
PPH22 13 186
YDL187C 1 0
YDL186W 2 2
YDL185C-A 6 12
VMA1 7 9
RPL41A 0 0
YDL183C 5 20
LYS20 18 114
INH1 1 0
YDL180W 10 29
PCL9 4 21
DLD2 8 44
YDL177C 2 4
YDL176W 9 235
AIR2 7 72
DLD1 25 493
PAR32 7 11
YDL172C 5 6
GLT1 68 3260
UGA3 25 2275
UGX2 6 26
SFA1 9 123
NRP1 11 87
FAP7 1 0
CDC36 0 0
CDC9 8 187
YDL163W 4 181
YDL162C 16 554
ENT1 5 5
MHF2 1 0
DHH1 2 9
YDL159W-A 4 100
STE7 11 142
YDL159C-B 0 0
YDL158C 1 0
YDL157C 3 283
CMR1 24 944
CLB3 10 48
MSH5 19 1207
SAS10 0 0
YDL152W 1 0
BUD30 0 0
RPC53 0 0
ATG9 12 36
NOP14 13 160
RPN5 1 0
LDB17 6 69
COP1 2 1
YDL144C 10 84
CCT4 2 1
CRD1 21 1347
BPL1 2 2
RPO21 8 10
SCM3 2 1
RGT2 10 18
ARF2 12 345
RPL35B 1 0
RDI1 4 5
PPH21 11 47
RPL41B 0 0
SRF1 6 108
CDC53 8 8
LYS21 6 168
STF1 3 28
RPP1B 3 7
YDL129W 7 130
VCX1 10 64
PCL2 18 189
CDC48 1 0
HNT1 7 121
YDL124W 15 268
SNA4 6 35
UBP1 16 109
YDL121C 8 129
YFH1 1 0
YDL119C 8 171
YDL118W 2 1
CYK3 12 58
NUP84 3 5
IWR1 8 165
YDL114W-A 0 0
YDL114W 12 202
ATG20 12 127
TRM3 40 1777
RRP42 0 0
TMA17 4 9
YDL109C 19 208
KIN28 2 4
MSS2 11 485
PHO2 9 53
NSE4 3 2
QRI7 11 222
QRI1 1 0
POL3 5 5
DUN1 4 4
GET3 11 343
BUG1 4 3
SNU23 1 0
RPN6 4 4
OPI6 4 44
PMT1 17 742
YDL094C 12 741
PMT5 22 324
SRP14 3 10
UBX3 10 496
RAM1 0 0
NUR1 17 83
ASM4 15 443
LUC7 2 1
YDL086W 30 1282
YDL086C-A 17 504
YDL085C-A 5 5
NDE2 17 287
SUB2 2 1
RPS16B 7 51
RPL13A 3 2
RPP1A 2 3
THI3 18 528
MRK1 8 73
MDH3 3 15
VAM6 7 85
RXT3 5 6
RPL31A 0 0
BRE1 7 33
YDL073W 38 1896
YET3 6 207
YDL071C 9 65
BDF2 21 186
CBS1 8 44
YDL068W 1 0
COX9 0 0
IDP1 12 112
PEX19 10 257
UBC9 3 11
SYO1 13 75
YDL062W 0 0
RPS29B 3 2
TSR1 7 14
RAD59 2 4
USO1 13 96
YDL057W 16 568
MBP1 20 324
PSA1 2 1
MCH1 21 1142
PBP4 7 181
SLC1 26 1066
LHP1 15 1037
YDL050C 16 653
KNH1 22 1402
STP4 42 1124
SIT4 2 1
NPC2 2 7
MRP10 1 0
FAD1 0 0
MTF2 7 107
PRP11 2 3
SIR2 21 397
YDL041W 6 186
NAT1 24 864
PRM7 23 354
BSC1 7 13
PUS9 5 27
GPR1 28 110
YDL034W 6 31
SLM3 38 1569
YDL032W 1 0
DBP10 9 121
PRP9 3 2
ARP2 3 21
MPS1 4 4
YDL027C 8 14
YDL026W 4 3
RTK1 18 318
YDL025W-A 1 0
DIA3 18 973
YDL022C-A 6 26
YDL023C 5 11
GPD1 25 291
GPM2 25 2189
RPN4 18 92
OSH2 54 3119
ERP3 10 56
CDC7 4 5
YDL016C 6 27
TSC13 0 0
NOP1 0 0
SLX5 2 1
YDL012C 13 153
YDL011C 10 157
GRX6 16 349
YDL009C 2 3
APC11 6 147
YDL007C-A 3 2
RPT2 5 4
PTC1 4 4
MED2 14 274
ATP16 1 0
MCD1 7 13
NHP10 8 21
RMD1 38 1150
NTH1 121 4325
YRB1 1 0
RCR2 29 1105
YDR003W-A 3 65
RAD57 25 375
MAF1 22 853
SOK1 37 1255
TRP1 653 197179
YDR008C 267 38459
GAL3 54 974
YDR010C 43 2630
SNQ2 69 2923
RPL4B 2 11
PSF1 1 0
RAD61 9 112
HED1 4 14
YDR015C 2 3
DAD1 0 0
KCS1 37 1386
YDR018C 34 1572
GCV1 24 402
DAS2 21 652
FAL1 2 3
ATG31 5 112
SES1 3 3
FYV1 10 101
RPS11A 4 24
NSI1 20 849
VPS54 12 177
REG1 26 411
YDR029W 3 53
RAD28 16 941
MIX14 3 3
PST2 18 978
MRH1 11 37
LYS14 28 941
YDR034C-A 5 9
YDR034W-B 4 461
ARO3 11 273
EHD3 17 184
KRS1 4 3
ENA5 14 43
ENA2 8 12
ENA1 16 74
RSM10 3 7
YDR042C 2 5
NRG1 12 133
HEM13 0 0
RPC11 0 0
BAP3 8 27
HEM12 8 23
YDR048C 8 54
VMS1 10 12
TPI1 0 0
DET1 14 600
DBF4 2 1
YDR053W 0 0
CDC34 3 2
PST1 21 550
YDR056C 10 142
YOS9 18 445
TGL2 6 34
UBC5 6 7
MAK21 3 2
YDR061W 22 1100
LCB2 1 0
AIM7 5 5
RPS13 2 1
RRG1 12 310
RTR2 14 805
OCA6 6 23
DOS2 12 319
DOA4 9 24
FMP16 5 81
PAA1 2 28
IPT1 30 1892
SNF11 5 196
TPS2 20 206
PPH3 5 65
RAD55 15 195
SED1 15 475
SHU2 26 2529
PET100 4 83
TFB5 0 0
VPS41 11 66
PDC2 2 1
STN1 5 64
RRP8 3 4
TVP23 1 0
AFR1 13 1317
SSS1 0 0
RRP1 1 0
SLU7 6 10
YDR089W 30 1039
YDR090C 8 28
RLI1 3 6
UBC13 5 198
DNF2 82 5640
YDR094W 27 2751
YDR095C 19 202
GIS1 15 363
MSH6 10 626
GRX3 7 572
BMH2 20 596
TVP15 5 81
ARX1 8 35
YDR102C 4 55
STE5 14 100
SPO71 21 181
TMS1 17 165
ARP10 10 220
TMN2 14 87
TRS85 4 9
YDR109C 12 89
FOB1 10 37
ALT2 10 213
IRC2 6 49
PDS1 2 1
YDR114C 4 18
YDR115W 1 0
MRPL1 8 21
TMA64 2 1
APC4 7 44
YDR118W-A 0 0
VBA4 15 210
COX26 5 18
TRM1 10 166
DPB4 0 0
KIN1 37 1214
INO2 2 1
YDR124W 9 285
ECM18 6 14
SWF1 16 652
ARO1 10 116
MTC5 28 755
SAC6 5 7
FIN1 6 36
YDR131C 16 134
YDR132C 13 38
YDR133C 0 0
YCF1 32 1403
VPS61 14 486
RGP1 7 14
HPR1 11 49
RUB1 2 1
MTQ2 2 1
DOP1 9 15
PEX7 7 13
SAN1 19 195
MKC7 3 32
TAF12 2 1
SWI5 11 282
EKI1 14 622
KGD2 11 35
YDR149C 3 2
NUM1 29 667
CTH1 6 87
GIR2 2 3
ENT5 7 29
YDR154C 2 1
CPR1 8 248
RPA14 11 58
YDR157W 14 362
HOM2 6 46
SAC3 14 142
SSY1 2 1
YDR161W 0 0
NBP2 0 0
CWC15 4 11
SEC1 7 34
TRM82 6 24
SEC5 8 40
TAF10 2 1
CDC37 3 13
STB3 4 9
YDR169C-A 2 1
SEC7 7 11
HSP42 12 115
SUP35 4 3
ARG82 2 4
HMO1 4 9
RSM24 1 0
NGG1 6 40
UBC1 1 0
SDH4 9 197
CSN9 1 0
YDR179W-A 10 63
SCC2 6 51
SAS4 11 302
CDC1 2 1
YDR182W-A 1 0
PLP1 8 357
YDR183C-A 1 0
ATC1 5 5
UPS3 7 29
YDR186C 12 210
YDR187C 0 0
CCT6 2 1
SLY1 2 1
RVB1 2 2
HST4 11 152
NUP42 4 4
YDR193W 3 5
MSS116 8 39
YDR194W-A 0 0
REF2 5 11
CAB5 0 0
CBS2 3 6
RKM2 3 2
YDR199W 3 65
VPS64 10 86
SPC19 0 0
RAV2 6 71
YDR203W 2 1
COQ4 5 58
MSC2 7 94
EBS1 14 522
UME6 13 109
MSS4 8 14
YDR209C 7 113
YDR210W 7 113
GCD6 0 0
TCP1 3 2
UPC2 11 52
AHA1 32 1853
YDR215C 11 149
ADR1 15 438
RAD9 32 1635
SPR28 11 46
MFB1 3 5
YDR220C 4 5
GTB1 14 398
YDR222W 9 228
CRF1 7 42
HTB1 1 0
HTA1 3 2
ADK1 4 3
SIR4 13 89
PCF11 0 0
IVY1 16 470
YDR230W 17 1607
COX20 19 1455
HEM1 2 1
RTN1 8 141
LYS4 18 608
PRP42 2 5
FMN1 1 0
MRPL7 3 2
SEC26 3 2
YDR239C 14 824
SNU56 5 29
BUD26 5 27
AMD2 13 235
PRP28 2 1
PEX5 8 29
MNN10 3 3
TRS23 1 0
YDR246W-A 14 570
VHS1 11 83
YDR248C 8 437
YDR249C 5 26
YDR250C 8 735
PAM1 7 111
BTT1 2 4
MET32 1 0
CHL4 10 288
RMD5 1 0
CTA1 10 60
RKM4 2 2
HSP78 27 1103
YAP6 8 56
SWM1 12 977
EXG2 9 57
YDR262W 3 40
DIN7 4 6
AKR1 8 36
PEX10 4 3
HEL2 7 15
CIA1 1 0
MSW1 6 121
YDR269C 1 0
CCC2 19 77
YDR271C 4 8
GLO2 7 62
DON1 10 214
YDR274C 23 870
BSC2 7 23
PMP3 1 0
MTH1 16 59
YDR278C 1 0
RNH202 3 2
RRP45 2 1
PHM6 2 9
YDR282C 6 12
GCN2 14 51
DPP1 10 500
ZIP1 13 644
YDR286C 0 0
INM2 5 192
NSE3 3 5
RTT103 2 1
YDR290W 5 251
HRQ1 25 627
SRP101 5 13
SSD1 12 137
DPL1 23 731
HDA2 8 392
MHR1 0 0
SUR2 4 9
ATP5 3 3
BFR2 1 0
PRO1 0 0
CFT1 6 7
GPI11 2 1
RSC3 2 8
CPR5 3 3
HNT2 3 89
YDR306C 6 6
PMT7 9 34
SRB7 3 6
GIC2 5 5
SUM1 12 157
TFB1 3 4
SSF2 28 427
PIB1 5 29
RAD34 4 17
IPK1 2 3
OMS1 6 148
HIM1 5 9
MCM21 3 2
YFT2 5 210
SWA2 7 67
DAD4 0 0
YDR320W-B 11 1388
ASP1 4 7
MRPL35 4 28
TIM11 0 0
PEP7 13 43
UTP4 2 1
YCG1 8 13
YSP2 19 517
YDR327W 3 7
SKP1 0 0
PEX3 5 13
UBX5 8 83
GPI8 2 1
IRC3 13 88
RQC1 10 110
SWR1 27 1748
MSN5 15 114
YDR336W 11 1038
MRPS28 5 14
YDR338C 27 898
FCF1 0 0
YDR340W 8 247
YDR341C 5 6
HXT7 5 7
HXT6 5 7
YDR344C 8 12
HXT3 15 396
SVF1 21 686
MRP1 4 13
PAL1 11 210
YPS7 10 168
ATP22 5 37
SBE2 5 11
YPQ2 11 43
TRR1 3 9
TRP4 1 0
YDR354C-A 0 0
YDR355C 0 0
SPC110 3 2
CNL1 8 37
GGA1 13 113
EAF1 8 11
OPI7 2 1
BCP1 2 1
TFC6 7 77
ESC2 8 122
SEM1 1 0
CDC40 1 0
ESF1 1 0
YDR366C 7 191
KEI1 3 3
YPR1 3 25
XRS2 12 74
DXO1 9 183
CTS2 9 189
YDR371C-A 0 0
VPS74 1 0
FRQ1 0 0
PHO92 1 0
WIP1 0 0
BCS1 13 553
ARH1 7 15
ATP17 4 7
LSM6 0 0
RGA2 20 772
SDH6 0 0
ARO10 14 52
YRA1 3 4
YDR381C-A 1 0
RPP2B 1 0
NKP1 7 37
ATO3 13 223
EFT2 3 2
MUS81 4 6
YDR387C 9 224
RVS167 9 71
SAC7 6 104
UBA2 4 3
YDR391C 2 1
SPT3 3 2
SHE9 15 759
RPT3 3 2
SXM1 13 50
YDR396W 2 1
NCB2 1 0
UTP5 1 0
HPT1 4 4
URH1 16 944
YDR401W 6 22
DIT2 8 288
DIT1 11 148
RPB7 0 0
MRP20 13 123
PDR15 76 5521
YDR406W-A 5 19
TRS120 7 101
ADE8 3 2
SIZ1 18 747
STE14 6 47
DFM1 4 37
RRP17 1 0
YDR413C 1 0
ERD1 9 31
YDR415C 7 105
SYF1 5 4
YDR417C 1 0
RPL12B 2 1
RAD30 11 215
HKR1 19 256
ARO80 20 465
SIP1 24 468
CAD1 23 412
DYN2 1 0
SNX41 12 63
YDR426C 0 0
RPN9 0 0
BNA7 5 29
TIF35 0 0
CYM1 21 763
