gene_name number_of_transposon_per_gene number_of_read_per_gene
RRT2 52 619
ENP1 3 7
HIS7 45 342
ARO4 53 505
SPO23 66 891
MRPS5 16 115
DUT1 4 6
SRB6 1 0
TRS20 6 16
MTC4 73 862
YBR255C-A 11 186
RIB5 16 120
POP4 6 28
SHG1 18 91
YBR259W 56 766
RGD1 75 1090
TAE1 40 397
MIC12 13 89
SHM1 56 641
YPT10 32 337
TSC10 10 120
REI1 65 664
SLM6 17 95
MRPL37 1 0
SDH8 13 74
BIT2 62 440
EFM2 46 558
HSM3 21 111
UBX7 49 587
CHK1 48 586
RIF1 192 2005
PPS1 69 791
YBR277C 43 283
DPB3 32 199
PAF1 17 122
SAF1 108 1265
DUG2 83 733
MRPL27 6 14
SSH1 29 175
YBR284W 102 1060
YBR285W 3 28
APE3 109 1359
YBR287W 48 384
APM3 59 439
SNF5 42 242
BSD2 15 83
CTP1 92 1581
YBR292C 46 201
VBA2 47 682
SUL1 128 1624
PCA1 160 1828
PHO89 107 1259
YBR296C-A 13 61
MAL33 44 313
MAL31 72 853
YBR298C-A 24 324
MAL32 20 102
YBR300C 10 27
PAU24 5 8
COS2 1 0
YCL076W 11 54
GEX1 28 232
VBA3 6 20
YCL068C 13 165
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 27 212
VAC17 52 580
MRC1 65 445
KRR1 7 21
FYV5 38 502
ADF1 28 325
MIC10 33 475
PRD1 75 627
PEX34 24 77
KAR4 30 328
RDT1 0 0
SPB1 53 559
PBN1 24 239
LRE1 83 744
APA1 55 657
YCL049C 59 524
YCL048W-A 14 173
SPS22 118 1941
POF1 62 701
EMC1 54 508
YCL046W 5 13
MGR1 113 1339
PDI1 20 183
YCL041C 46 140
YCL042W 47 921
GLK1 160 2908
GID7 106 1145
ATG22 91 649
SRO9 121 4142
GFD2 207 3416
GRX1 31 476
LSB5 136 3427
MXR2 47 460
STE50 100 2648
RRP7 14 82
HIS4 317 3428
BIK1 159 2124
RNQ1 77 941
FUS1 101 1399
HBN1 30 180
FRM2 68 1108
AGP1 280 4892
YCL023C 57 958
