gene_name number_of_transposon_per_gene number_of_read_per_gene
TUP1 21 84
YCR085W 6 61
CSM1 12 62
YCR087W 6 49
YCR087C-A 6 49
ABP1 18 128
FIG2 10 218
YCR090C 10 205
KIN82 27 241
MSH3 20 398
CDC39 37 168
CDC50 9 78
OCA4 6 15
YCR095W-A 2 1
HMRA2 0 0
HMRA1 4 27
YCR097W-A 0 0
GIT1 9 100
YCR099C 5 27
YCR100C 26 243
YCR101C 0 0
YCR102C 4 9
YCR102W-A 1 0
PAU3 2 1
ADH7 32 392
RDS1 22 93
AAD3 18 385
YCR108C 4 52
COS7 0 0
YDL247W-A 0 0
MPH2 1 0
SOR2 3 2
HXT15 3 2
THI13 4 24
AAD4 2 2
YDL242W 10 359
YDL241W 1 0
YDL240C-A 6 82
LRG1 18 73
ADY3 4 55
GUD1 6 33
AIM6 8 55
PHO13 4 13
YPD1 0 0
GYP7 16 38
MFG1 7 571
OST4 1 0
BRE4 20 250
PTP1 6 16
SSB1 3 33
YDL228C 3 33
HO 23 193
GCS1 10 88
SHS1 10 46
WHI4 4 3
HBT1 26 711
FMP45 12 303
YDL221W 11 113
CDC13 14 120
DTD1 0 0
YDL218W 10 63
TIM22 1 0
RRI1 9 39
GDH2 28 282
PRR2 30 355
NOP6 13 54
SHR3 3 2
YDL211C 6 51
UGA4 4 50
CWC2 3 4
NHP2 0 0
GLE1 2 3
YDL206W 4 4
HEM3 7 20
RTN2 16 66
ACK1 8 39
MRPL11 6 10
TRM8 17 183
MGT1 3 48
YDL199C 5 12
GGC1 3 2
ASF2 19 134
YDL196W 23 317
SEC31 3 2
SNF3 12 47
NUS1 4 5
ARF1 3 10
RPL35A 3 2
UFD2 33 159
RBS1 3 2
PPH22 10 31
YDL187C 1 0
YDL186W 2 4
YDL185C-A 3 58
VMA1 14 79
RPL41A 4 5
YDL183C 6 36
LYS20 10 90
INH1 1 0
YDL180W 7 9
PCL9 3 17
DLD2 11 123
YDL177C 1 0
YDL176W 5 6
AIR2 8 57
DLD1 21 276
PAR32 6 22
YDL172C 1 0
GLT1 40 812
UGA3 12 473
UGX2 3 3
SFA1 21 391
NRP1 17 50
FAP7 0 0
CDC36 5 7
CDC9 11 31
YDL163W 1 0
YDL162C 4 43
ENT1 13 72
MHF2 0 0
DHH1 5 4
YDL159W-A 5 41
STE7 13 53
YDL159C-B 0 0
YDL158C 2 3
YDL157C 1 0
CMR1 23 324
CLB3 18 58
MSH5 28 446
SAS10 0 0
YDL152W 4 79
BUD30 1 0
RPC53 8 38
ATG9 15 83
NOP14 28 138
RPN5 7 16
LDB17 8 73
COP1 9 28
YDL144C 6 8
CCT4 9 22
CRD1 9 10
BPL1 12 33
RPO21 36 203
SCM3 0 0
RGT2 19 129
ARF2 9 35
RPL35B 0 0
RDI1 12 76
PPH21 11 71
RPL41B 3 3
SRF1 3 2
CDC53 6 29
LYS21 6 16
STF1 0 0
RPP1B 0 0
YDL129W 1 0
VCX1 8 98
PCL2 25 189
CDC48 12 73
HNT1 3 9
YDL124W 7 20
SNA4 1 0
UBP1 17 149
YDL121C 8 29
YFH1 0 0
YDL119C 2 16
YDL118W 0 0
CYK3 20 128
NUP84 13 42
IWR1 17 173
YDL114W-A 1 0
YDL114W 1 0
ATG20 10 32
TRM3 30 112
RRP42 2 3
TMA17 5 87
YDL109C 15 98
KIN28 9 31
MSS2 5 9
PHO2 19 110
NSE4 1 0
QRI7 6 8
QRI1 2 1
POL3 8 27
DUN1 5 5
GET3 18 92
BUG1 9 25
SNU23 6 6
RPN6 19 72
OPI6 6 23
PMT1 22 410
YDL094C 16 179
PMT5 13 101
SRP14 9 38
UBX3 6 50
RAM1 2 1
NUR1 12 46
ASM4 2 1
LUC7 2 3
YDL086W 16 184
YDL086C-A 13 76
YDL085C-A 7 45
NDE2 15 140
SUB2 2 1
RPS16B 0 0
RPL13A 7 28
RPP1A 1 0
THI3 14 152
MRK1 26 528
MDH3 13 67
VAM6 15 36
RXT3 5 23
RPL31A 1 0
BRE1 15 54
YDL073W 13 206
YET3 3 2
YDL071C 8 118
BDF2 14 59
CBS1 9 211
YDL068W 4 106
COX9 2 1
IDP1 11 63
PEX19 14 41
UBC9 2 4
SYO1 27 103
YDL062W 8 19
RPS29B 0 0
TSR1 10 30
RAD59 7 20
USO1 30 129
YDL057W 16 146
MBP1 40 224
PSA1 2 1
MCH1 23 401
PBP4 10 89
SLC1 9 29
LHP1 6 18
YDL050C 3 3
KNH1 5 90
STP4 30 141
SIT4 8 31
NPC2 9 241
MRP10 1 0
FAD1 1 0
MTF2 10 27
PRP11 3 2
SIR2 34 558
YDL041W 9 68
NAT1 11 265
PRM7 35 427
BSC1 11 251
PUS9 22 135
GPR1 14 66
YDL034W 2 1
SLM3 19 495
YDL032W 3 4
DBP10 7 14
PRP9 10 23
ARP2 1 0
MPS1 12 36
YDL027C 7 15
YDL026W 2 1
RTK1 13 257
YDL025W-A 0 0
DIA3 13 342
YDL022C-A 6 51
YDL023C 8 127
GPD1 17 152
GPM2 17 339
RPN4 15 26
OSH2 53 1312
ERP3 7 22
CDC7 9 88
YDL016C 5 73
TSC13 1 0
NOP1 1 0
SLX5 12 67
YDL012C 5 100
YDL011C 3 21
GRX6 5 32
YDL009C 2 2
APC11 6 19
YDL007C-A 0 0
RPT2 4 7
PTC1 6 16
MED2 13 337
ATP16 7 30
MCD1 10 28
NHP10 26 215
RMD1 39 1083
NTH1 81 1619
YRB1 0 0
RCR2 17 426
YDR003W-A 3 11
RAD57 5 12
MAF1 8 149
SOK1 32 479
TRP1 598 97261
YDR008C 228 18095
GAL3 51 1358
YDR010C 44 1788
SNQ2 73 1305
RPL4B 6 70
PSF1 0 0
RAD61 14 99
HED1 4 6
YDR015C 2 1
DAD1 1 0
KCS1 20 116
YDR018C 11 55
GCV1 24 287
DAS2 17 298
FAL1 0 0
ATG31 4 10
SES1 4 3
FYV1 4 7
RPS11A 0 0
NSI1 32 1469
VPS54 21 139
REG1 22 86
YDR029W 3 3
RAD28 23 461
MIX14 4 133
PST2 11 113
MRH1 4 4
LYS14 12 59
YDR034C-A 1 0
YDR034W-B 0 0
ARO3 5 8
EHD3 5 16
KRS1 21 74
ENA5 2 1
ENA2 5 4
ENA1 8 10
RSM10 8 69
YDR042C 0 0
NRG1 8 118
HEM13 1 0
RPC11 1 0
BAP3 4 45
HEM12 6 8
YDR048C 10 36
VMS1 11 22
TPI1 0 0
DET1 2 1
DBF4 0 0
YDR053W 0 0
CDC34 11 34
PST1 3 131
YDR056C 6 161
YOS9 8 60
TGL2 2 1
UBC5 7 14
MAK21 5 5
YDR061W 16 274
LCB2 3 4
AIM7 12 48
RPS13 3 3
RRG1 7 423
RTR2 7 106
OCA6 8 91
DOS2 2 2
DOA4 9 11
FMP16 0 0
PAA1 14 40
IPT1 9 15
SNF11 2 5
TPS2 22 82
PPH3 2 4
RAD55 28 300
SED1 11 283
