gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR284W 22 325
YBR285W 2 1
APE3 22 395
YBR287W 13 228
APM3 8 100
SNF5 12 50
BSD2 20 460
CTP1 22 588
YBR292C 19 396
VBA2 29 1034
SUL1 27 1531
PCA1 32 532
PHO89 25 621
YBR296C-A 4 84
MAL33 9 157
MAL31 21 292
YBR298C-A 8 93
MAL32 8 55
YBR300C 5 14
PAU24 0 0
COS2 0 0
YCL076W 3 9
GEX1 2 1
VBA3 4 15
YCL068C 4 15
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 3 9
CHA1 10 213
VAC17 13 130
MRC1 9 51
KRR1 6 32
FYV5 9 22
ADF1 3 3
MIC10 5 51
PRD1 23 278
PEX34 7 100
KAR4 11 295
RDT1 0 0
SPB1 7 8
PBN1 15 108
LRE1 40 1243
APA1 13 259
YCL049C 22 264
YCL048W-A 5 6
SPS22 23 686
POF1 27 689
EMC1 25 430
YCL046W 2 1
MGR1 35 772
PDI1 4 23
YCL041C 17 72
YCL042W 22 266
GLK1 87 2744
GID7 47 1169
ATG22 24 284
SRO9 15 181
GFD2 58 1485
GRX1 4 14
LSB5 35 1066
MXR2 16 129
STE50 21 636
RRP7 2 1
HIS4 130 2836
BIK1 86 1951
RNQ1 35 1310
FUS1 56 1257
HBN1 22 428
FRM2 32 565
AGP1 101 4505
YCL023C 19 367
KCC4 98 1554
YCL022C 21 256
YCL021W-A 28 642
LEU2 65 1171
NFS1 1 0
DCC1 19 312
BUD3 159 4742
YCL012C 27 135
GBP2 82 1595
SGF29 52 927
ILV6 95 3159
STP22 85 2083
YCL007C 17 202
VMA9 7 11
LDB16 58 1041
PGS1 34 591
YCL002C 51 982
RER1 23 320
YCL001W-A 15 120
YCL001W-B 18 249
YCR001W 13 489
CDC10 1 0
MRPL32 31 397
YCP4 21 435
CIT2 92 3328
YCR006C 202 6730
YCR007C 46 1311
SAT4 45 1181
RVS161 35 820
ADY2 42 683
ADP1 111 3177
PGK1 0 0
YCR013C 2 4
POL4 62 1206
YCR015C 19 652
YCR016W 16 68
CWH43 67 2635
SRD1 8 127
YCR018C-A 12 66
MAK32 27 773
PET18 23 777
MAK31 4 3
HTL1 0 0
HSP30 53 1680
YCR022C 61 1868
YCR023C 61 1604
SLM5 27 612
YCR024C-B 7 62
PMP1 3 89
YCR025C 59 1645
NPP1 57 855
RHB1 11 317
FEN2 5 42
RIM1 8 40
SYP1 40 943
RPS14A 3 6
BPH1 94 1567
SNT1 34 323
ELO2 7 73
RRP43 0 0
RBK1 14 166
PHO87 28 852
BUD5 13 58
YCR038W-A 0 0
MATALPHA2 1 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 14 97
YCR043C 11 132
PER1 13 45
RRT12 41 1081
YCR045W-A 12 122
IMG1 11 88
BUD23 1 0
