gene_name number_of_transposon_per_gene number_of_read_per_gene
PTP1 19 366
SSB1 12 151
YDL228C 10 109
HO 39 526
GCS1 5 8
SHS1 23 322
WHI4 50 296
HBT1 63 1219
FMP45 21 372
YDL221W 37 923
CDC13 34 383
DTD1 2 1
YDL218W 20 276
TIM22 0 0
RRI1 19 265
GDH2 48 776
PRR2 28 305
NOP6 9 67
SHR3 0 0
YDL211C 18 264
UGA4 19 123
CWC2 2 1
NHP2 2 1
GLE1 2 3
YDL206W 14 98
HEM3 8 11
RTN2 21 570
ACK1 26 254
MRPL11 4 22
TRM8 7 69
MGT1 3 7
YDL199C 29 412
GGC1 2 1
ASF2 31 315
YDL196W 44 636
SEC31 6 8
SNF3 16 130
NUS1 3 4
ARF1 5 15
RPL35A 1 0
UFD2 29 251
RBS1 17 117
PPH22 23 98
YDL187C 9 34
YDL186W 11 45
YDL185C-A 9 42
VMA1 10 36
RPL41A 0 0
YDL183C 19 168
LYS20 19 259
INH1 4 82
YDL180W 9 127
PCL9 6 63
DLD2 18 301
YDL177C 8 28
YDL176W 19 211
AIR2 10 108
DLD1 27 240
PAR32 10 127
YDL172C 4 29
GLT1 93 3167
UGA3 23 380
UGX2 9 78
SFA1 16 105
NRP1 22 263
FAP7 4 5
CDC36 2 1
CDC9 6 8
YDL163W 5 4
YDL162C 18 174
ENT1 10 32
MHF2 1 0
DHH1 12 66
YDL159W-A 5 11
STE7 15 153
YDL159C-B 1 0
YDL158C 4 31
YDL157C 3 26
CMR1 32 426
CLB3 12 167
MSH5 30 533
SAS10 3 3
YDL152W 10 48
BUD30 1 0
RPC53 2 3
ATG9 23 309
NOP14 7 25
RPN5 4 62
LDB17 17 289
COP1 6 6
YDL144C 13 189
CCT4 1 0
CRD1 7 102
BPL1 4 8
RPO21 8 11
SCM3 4 13
RGT2 34 234
ARF2 15 243
RPL35B 5 30
RDI1 4 17
PPH21 29 258
RPL41B 1 0
SRF1 16 109
CDC53 5 6
LYS21 22 241
STF1 2 3
RPP1B 2 1
YDL129W 4 19
VCX1 16 231
PCL2 29 381
CDC48 3 2
HNT1 19 798
YDL124W 28 861
SNA4 16 142
UBP1 33 143
YDL121C 4 99
YFH1 1 0
YDL119C 6 37
YDL118W 1 0
CYK3 15 429
NUP84 4 21
IWR1 11 53
YDL114W-A 0 0
YDL114W 14 180
ATG20 16 211
TRM3 46 2492
RRP42 3 4
TMA17 20 330
YDL109C 43 1071
KIN28 7 17
MSS2 18 211
PHO2 11 127
NSE4 2 1
QRI7 7 65
QRI1 2 1
POL3 5 9
DUN1 8 92
GET3 10 152
BUG1 7 19
SNU23 2 2
RPN6 5 5
OPI6 4 20
PMT1 28 610
YDL094C 16 184
PMT5 32 112
SRP14 4 39
UBX3 15 170
RAM1 1 0
NUR1 27 263
ASM4 13 169
LUC7 2 1
YDL086W 25 262
YDL086C-A 14 101
YDL085C-A 4 13
NDE2 33 397
SUB2 4 6
RPS16B 3 17
RPL13A 8 15
RPP1A 0 0
THI3 29 212
MRK1 23 531
MDH3 27 302
VAM6 16 170
RXT3 18 340
RPL31A 0 0
BRE1 13 74
YDL073W 63 1067
YET3 13 147
YDL071C 16 50
BDF2 24 481
CBS1 11 194
YDL068W 6 131
COX9 5 48
IDP1 20 144
PEX19 19 143
UBC9 0 0
SYO1 14 100
YDL062W 0 0
RPS29B 1 0
TSR1 8 11
RAD59 7 19
USO1 26 439
YDL057W 13 111
MBP1 18 208
PSA1 5 6
MCH1 41 565
PBP4 3 4
SLC1 29 452
LHP1 19 235
YDL050C 11 74
KNH1 39 1648
STP4 51 466
SIT4 6 9
NPC2 7 47
MRP10 1 0
FAD1 2 2
MTF2 6 127
PRP11 3 12
SIR2 43 410
YDL041W 8 129
NAT1 30 459
PRM7 29 518
BSC1 8 16
PUS9 23 101
GPR1 60 307
YDL034W 8 19
SLM3 55 1664
YDL032W 9 42
DBP10 5 6
PRP9 2 3
ARP2 0 0
MPS1 14 122
YDL027C 29 498
