gene_name number_of_transposon_per_gene number_of_read_per_gene
MAK32 50 1399
PET18 21 587
MAK31 1 0
HTL1 0 0
HSP30 41 1109
YCR022C 50 1665
YCR023C 49 960
SLM5 28 483
YCR024C-B 8 44
PMP1 1 0
YCR025C 33 676
NPP1 54 861
RHB1 5 4
FEN2 5 8
RIM1 8 107
SYP1 44 1215
RPS14A 3 3
BPH1 77 2200
SNT1 56 1119
ELO2 4 46
RRP43 0 0
RBK1 16 421
PHO87 37 1380
BUD5 7 19
YCR038W-A 2 1
MATALPHA2 0 0
MATALPHA1 1 0
YCR041W 2 1
TAF2 15 300
YCR043C 5 5
PER1 5 43
RRT12 36 905
YCR045W-A 14 120
IMG1 2 1
BUD23 4 3
YCR047W-A 0 0
YCR049C 10 158
ARE1 45 1040
YCR050C 9 80
YCR051W 9 62
RSC6 6 12
THR4 11 164
CTR86 13 96
PWP2 4 9
YIH1 19 236
TAH1 3 3
YCR061W 109 3938
YCR064C 22 570
BUD31 3 10
HCM1 21 331
RAD18 5 4
SED4 35 748
ATG15 49 1392
CPR4 23 845
IMG2 8 86
RSA4 1 0
SSK22 56 987
SOL2 7 49
ERS1 12 267
YCR075W-A 1 0
FUB1 13 72
PAT1 5 11
PTC6 20 144
SRB8 33 416
YCR081C-A 2 2
AHC2 3 14
TRX3 6 122
TUP1 19 559
YCR085W 1 0
CSM1 6 60
YCR087W 2 1
YCR087C-A 1 0
ABP1 25 544
FIG2 25 295
YCR090C 10 114
KIN82 33 1369
MSH3 41 846
CDC39 28 229
CDC50 8 165
OCA4 4 15
YCR095W-A 3 2
HMRA2 0 0
HMRA1 6 15
YCR097W-A 0 0
GIT1 20 145
YCR099C 6 32
YCR100C 6 23
YCR101C 6 14
YCR102C 5 7
YCR102W-A 0 0
PAU3 11 138
ADH7 15 310
RDS1 24 480
AAD3 28 589
YCR108C 12 27
COS7 2 51
YDL247W-A 0 0
MPH2 2 1
SOR2 2 1
HXT15 4 3
THI13 4 5
AAD4 9 67
YDL242W 10 62
YDL241W 1 0
YDL240C-A 12 173
LRG1 17 64
ADY3 17 194
GUD1 12 57
AIM6 7 36
PHO13 3 17
YPD1 0 0
GYP7 31 725
MFG1 11 152
OST4 0 0
BRE4 26 213
PTP1 18 598
SSB1 8 93
YDL228C 6 38
HO 41 749
GCS1 2 1
SHS1 13 180
WHI4 31 271
HBT1 30 483
FMP45 23 227
YDL221W 33 579
CDC13 25 620
DTD1 0 0
YDL218W 11 108
TIM22 0 0
RRI1 17 354
GDH2 28 536
PRR2 17 249
NOP6 5 31
SHR3 3 2
YDL211C 8 40
UGA4 20 213
CWC2 2 6
NHP2 3 2
GLE1 3 6
YDL206W 17 149
HEM3 2 1
RTN2 18 311
ACK1 10 43
MRPL11 3 15
TRM8 8 139
MGT1 9 156
YDL199C 25 673
GGC1 1 0
ASF2 23 516
YDL196W 26 335
SEC31 1 0
SNF3 9 67
NUS1 2 1
ARF1 1 0
RPL35A 0 0
UFD2 19 99
RBS1 9 118
PPH22 18 143
YDL187C 3 3
YDL186W 9 46
YDL185C-A 5 34
VMA1 8 10
RPL41A 0 0
YDL183C 13 321
LYS20 21 262
INH1 4 3
YDL180W 9 78
PCL9 8 59
DLD2 24 311
YDL177C 8 99
YDL176W 13 179
AIR2 7 69
DLD1 19 363
PAR32 9 48
YDL172C 3 5
GLT1 74 1794
UGA3 25 758
UGX2 16 204
SFA1 9 39
NRP1 15 65
FAP7 3 2
CDC36 0 0
CDC9 6 19
YDL163W 3 15
YDL162C 15 192
ENT1 10 31
MHF2 0 0
DHH1 14 86
YDL159W-A 5 39
STE7 5 26
YDL159C-B 0 0
YDL158C 0 0
YDL157C 4 21
CMR1 23 578
CLB3 16 76
MSH5 27 400
SAS10 2 1
YDL152W 6 21
BUD30 0 0
RPC53 1 0
ATG9 18 114
NOP14 7 35
RPN5 1 0
LDB17 7 35
COP1 3 13
YDL144C 18 143
CCT4 2 1
CRD1 16 603
BPL1 5 28
RPO21 11 21
SCM3 0 0
RGT2 32 362
ARF2 13 258
RPL35B 2 1
RDI1 1 0
PPH21 20 275
RPL41B 0 0
SRF1 3 3
CDC53 2 1
LYS21 23 420
STF1 2 1
RPP1B 5 24
YDL129W 9 78
VCX1 12 206
PCL2 22 554
CDC48 6 10
HNT1 7 139
YDL124W 13 266
SNA4 10 173
UBP1 17 409
YDL121C 6 30
YFH1 0 0
YDL119C 3 2
YDL118W 0 0
CYK3 16 171
NUP84 2 1
IWR1 5 7
YDL114W-A 0 0
YDL114W 11 138
ATG20 17 77
TRM3 44 2026
RRP42 2 1
TMA17 7 13
YDL109C 28 456
KIN28 2 1
MSS2 9 375
PHO2 8 185
NSE4 2 1
QRI7 11 133
QRI1 9 18
