gene_name number_of_transposon_per_gene number_of_read_per_gene
TDP1 13 279
YBR223W-A 4 36
YBR224W 15 357
YBR225W 29 366
YBR226C 3 103
MCX1 5 4
SLX1 2 1
ROT2 16 52
OM14 4 10
YBR230W-A 9 289
SWC5 3 2
YBR232C 1 0
PBP2 9 23
DAD3 0 0
ARC40 1 0
VHC1 29 950
ABD1 2 1
PRP5 7 7
YBR238C 4 7
ERT1 32 1574
THI2 15 396
YBR241C 34 2035
YBR242W 6 38
ALG7 1 0
GPX2 7 100
ISW1 15 150
RRT2 6 101
ENP1 2 1
HIS7 17 930
ARO4 14 827
SPO23 11 272
MRPS5 5 149
DUT1 1 0
SRB6 1 0
TRS20 0 0
MTC4 8 74
YBR255C-A 2 1
RIB5 3 10
POP4 1 0
SHG1 3 2
YBR259W 8 60
RGD1 14 76
TAE1 6 53
MIC12 2 1
SHM1 3 2
YPT10 8 346
TSC10 0 0
REI1 3 2
SLM6 0 0
MRPL37 3 11
SDH8 4 3
BIT2 13 756
EFM2 10 297
HSM3 2 1
UBX7 4 61
CHK1 9 48
RIF1 27 536
PPS1 14 522
YBR277C 11 560
DPB3 4 44
PAF1 4 81
SAF1 14 216
DUG2 8 108
MRPL27 2 6
SSH1 3 2
YBR284W 27 1398
YBR285W 1 0
APE3 29 2415
YBR287W 25 990
APM3 12 85
SNF5 9 79
BSD2 0 0
CTP1 24 1473
YBR292C 15 174
VBA2 8 377
SUL1 19 1023
PCA1 36 1388
PHO89 33 4445
YBR296C-A 3 42
MAL33 10 332
MAL31 16 284
YBR298C-A 7 238
MAL32 0 0
YBR300C 3 2
PAU24 0 0
COS2 5 6
YCL076W 0 0
GEX1 6 8
VBA3 4 15
YCL068C 2 1
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 8 42
VAC17 4 6
MRC1 2 1
KRR1 2 23
FYV5 4 40
ADF1 1 0
MIC10 6 34
PRD1 29 1201
PEX34 4 54
KAR4 9 36
RDT1 0 0
SPB1 9 14
PBN1 2 1
LRE1 18 280
APA1 10 93
YCL049C 6 29
YCL048W-A 1 0
SPS22 11 160
POF1 7 100
EMC1 14 203
YCL046W 1 0
MGR1 17 489
PDI1 5 10
YCL041C 11 181
YCL042W 10 740
GLK1 126 9091
GID7 40 1055
ATG22 32 344
SRO9 11 117
GFD2 45 2081
GRX1 4 63
LSB5 46 5146
MXR2 11 146
STE50 25 549
RRP7 2 1
HIS4 40 863
BIK1 44 998
RNQ1 15 377
FUS1 16 914
HBN1 5 7
FRM2 15 161
AGP1 51 2170
YCL023C 20 1649
KCC4 62 3145
YCL022C 18 252
YCL021W-A 1 0
LEU2 45 2443
NFS1 10 109
DCC1 14 45
BUD3 107 5987
YCL012C 11 57
GBP2 49 1271
SGF29 40 1401
ILV6 49 1031
STP22 36 1267
YCL007C 8 251
VMA9 10 86
LDB16 18 450
PGS1 19 640
YCL002C 35 1787
RER1 22 122
YCL001W-A 8 14
YCL001W-B 9 199
YCR001W 17 563
CDC10 0 0
MRPL32 31 637
YCP4 26 997
CIT2 99 10754
YCR006C 108 3010
YCR007C 29 965
SAT4 40 632
RVS161 8 82
ADY2 28 1610
ADP1 75 2192
PGK1 4 30
YCR013C 5 31
POL4 56 2575
YCR015C 25 1033
YCR016W 12 238
CWH43 49 625
SRD1 6 38
YCR018C-A 11 346
MAK32 33 2022
PET18 18 835
MAK31 3 3
HTL1 1 0
HSP30 26 600
YCR022C 28 720
YCR023C 42 931
SLM5 20 280
YCR024C-B 9 44
PMP1 2 2
YCR025C 28 604
NPP1 54 1259
RHB1 6 82
FEN2 7 49
RIM1 1 0
SYP1 36 1599
RPS14A 4 5
BPH1 55 901
SNT1 42 1239
ELO2 12 105
RRP43 1 0
RBK1 11 563
PHO87 41 1636
BUD5 12 169
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 11 15
YCR043C 9 96
PER1 2 2
RRT12 20 830
YCR045W-A 3 6
IMG1 6 25
BUD23 4 3
YCR047W-A 0 0
YCR049C 8 300
ARE1 36 1747
YCR050C 6 199
YCR051W 13 208
RSC6 2 13
THR4 3 7
CTR86 7 14
PWP2 7 19
YIH1 13 279
TAH1 5 16
YCR061W 77 6493
YCR064C 16 263
BUD31 4 3
HCM1 16 298
RAD18 2 1
SED4 31 608
ATG15 32 750
CPR4 15 160
IMG2 2 1
RSA4 2 1
SSK22 27 358
SOL2 6 95
ERS1 13 258
YCR075W-A 0 0
FUB1 1 0
PAT1 6 14
PTC6 14 105
SRB8 11 178
YCR081C-A 1 0
AHC2 3 2
TRX3 4 59
TUP1 9 54
YCR085W 4 9
CSM1 1 0
YCR087W 4 8
YCR087C-A 4 8
ABP1 19 288
FIG2 20 192
YCR090C 4 13
KIN82 19 344
MSH3 23 670
CDC39 17 174
CDC50 4 17
OCA4 2 1
YCR095W-A 1 0
HMRA2 0 0
HMRA1 8 53
YCR097W-A 0 0
GIT1 10 33
YCR099C 8 262
YCR100C 6 51
YCR101C 7 316
YCR102C 14 350
YCR102W-A 1 0
PAU3 2 3
ADH7 21 396
RDS1 22 570
AAD3 25 562
YCR108C 12 144
COS7 5 19
YDL247W-A 0 0
MPH2 4 3
SOR2 1 0
HXT15 10 1141
THI13 6 32
AAD4 8 36
YDL242W 4 5
YDL241W 0 0
YDL240C-A 8 85
LRG1 11 565
ADY3 12 381
GUD1 12 35
AIM6 3 2
PHO13 2 1
YPD1 1 0
GYP7 14 84
MFG1 8 169
OST4 0 0
BRE4 15 273
PTP1 10 84
SSB1 13 71
YDL228C 7 30
HO 26 569
GCS1 3 4
SHS1 7 52
WHI4 22 715
HBT1 41 2089
FMP45 14 604
YDL221W 15 217
CDC13 13 159
DTD1 0 0
YDL218W 13 111
TIM22 2 1
RRI1 4 16
GDH2 28 1353
PRR2 16 728
NOP6 4 40
SHR3 2 1
YDL211C 16 395
UGA4 11 231
CWC2 0 0
NHP2 1 0
GLE1 1 0
YDL206W 10 282
HEM3 3 2
RTN2 12 115
ACK1 5 48
MRPL11 4 71
TRM8 2 1
MGT1 5 31
YDL199C 4 85
GGC1 0 0
ASF2 15 169
