gene_name number_of_transposon_per_gene number_of_read_per_gene
MRPL37 0 0
SDH8 10 35
BIT2 8 102
EFM2 16 95
HSM3 7 18
UBX7 7 51
CHK1 6 20
RIF1 53 471
PPS1 29 138
YBR277C 2 2
DPB3 6 20
PAF1 2 2
SAF1 9 48
DUG2 14 134
MRPL27 0 0
SSH1 13 52
YBR284W 20 212
YBR285W 0 0
APE3 16 87
YBR287W 9 48
APM3 9 44
SNF5 13 33
BSD2 1 0
CTP1 14 354
YBR292C 7 25
VBA2 11 222
SUL1 19 328
PCA1 48 595
PHO89 29 384
YBR296C-A 4 45
MAL33 8 124
MAL31 13 32
YBR298C-A 3 8
MAL32 4 5
YBR300C 0 0
PAU24 1 0
COS2 0 0
YCL076W 1 0
GEX1 11 31
VBA3 1 0
YCL068C 0 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 1 0
CHA1 10 34
VAC17 14 36
MRC1 7 22
KRR1 0 0
FYV5 8 29
ADF1 7 24
MIC10 9 83
PRD1 28 191
PEX34 6 91
KAR4 7 211
RDT1 0 0
SPB1 23 54
PBN1 7 8
LRE1 8 58
APA1 9 42
YCL049C 13 33
YCL048W-A 1 0
SPS22 23 453
POF1 6 78
EMC1 28 182
YCL046W 2 1
MGR1 10 187
PDI1 23 69
YCL041C 11 70
YCL042W 9 38
GLK1 41 661
GID7 36 480
ATG22 18 123
SRO9 6 45
GFD2 29 155
GRX1 3 140
LSB5 37 238
MXR2 7 59
STE50 24 193
RRP7 2 1
HIS4 6 9
BIK1 43 479
RNQ1 12 203
FUS1 23 1047
HBN1 6 14
FRM2 9 92
AGP1 41 698
YCL023C 11 293
KCC4 57 858
YCL022C 14 246
YCL021W-A 0 0
LEU2 40 656
NFS1 58 825
DCC1 9 17
BUD3 70 533
YCL012C 13 54
GBP2 24 277
SGF29 27 300
ILV6 18 232
STP22 26 136
YCL007C 1 0
VMA9 5 14
LDB16 13 149
PGS1 15 63
YCL002C 23 247
RER1 21 143
YCL001W-A 5 12
YCL001W-B 4 52
YCR001W 5 22
CDC10 2 1
MRPL32 24 585
YCP4 12 168
CIT2 50 893
YCR006C 75 2004
YCR007C 14 193
SAT4 40 499
RVS161 3 5
ADY2 13 464
ADP1 55 606
PGK1 5 10
YCR013C 4 14
POL4 29 305
YCR015C 11 31
YCR016W 14 51
CWH43 23 147
SRD1 1 0
YCR018C-A 7 54
MAK32 14 121
PET18 20 446
MAK31 2 7
HTL1 0 0
HSP30 10 43
YCR022C 23 216
YCR023C 31 415
SLM5 16 803
YCR024C-B 2 1
PMP1 0 0
YCR025C 23 279
NPP1 40 417
RHB1 2 2
FEN2 6 9
RIM1 2 3
SYP1 19 519
RPS14A 2 1
BPH1 45 571
SNT1 23 109
ELO2 10 70
RRP43 2 1
RBK1 10 62
PHO87 13 258
BUD5 5 52
YCR038W-A 0 0
MATALPHA2 1 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 19 115
YCR043C 6 28
PER1 3 22
RRT12 19 255
YCR045W-A 1 0
IMG1 12 284
BUD23 4 4
YCR047W-A 0 0
YCR049C 9 70
ARE1 32 249
YCR050C 2 4
YCR051W 4 4
RSC6 3 3
THR4 12 110
CTR86 4 15
PWP2 10 17
YIH1 16 80
TAH1 5 17
YCR061W 46 1361
YCR064C 24 506
BUD31 3 2
HCM1 23 139
RAD18 8 15
SED4 23 227
ATG15 21 306
CPR4 13 56
IMG2 8 141
RSA4 5 9
SSK22 23 262
SOL2 2 1
ERS1 8 28
YCR075W-A 1 0
FUB1 12 71
PAT1 20 90
PTC6 23 72
SRB8 43 166
YCR081C-A 3 2
AHC2 10 21
TRX3 10 74
TUP1 25 86
YCR085W 6 37
CSM1 11 46
YCR087W 8 108
YCR087C-A 8 108
ABP1 15 57
FIG2 14 180
YCR090C 9 123
KIN82 26 254
MSH3 22 185
CDC39 35 167
CDC50 13 79
OCA4 4 4
YCR095W-A 1 0
HMRA2 0 0
HMRA1 3 2
YCR097W-A 0 0
GIT1 9 114
YCR099C 2 1
YCR100C 28 201
YCR101C 1 0
YCR102C 10 35
YCR102W-A 0 0
PAU3 2 1
ADH7 26 196
RDS1 22 263
AAD3 14 282
YCR108C 4 31
COS7 0 0
YDL247W-A 0 0
MPH2 2 1
SOR2 1 0
HXT15 5 53
THI13 10 36
AAD4 4 6
YDL242W 10 296
YDL241W 1 0
YDL240C-A 8 55
LRG1 23 45
ADY3 3 167
GUD1 9 21
AIM6 11 44
PHO13 2 8
YPD1 0 0
GYP7 14 36
MFG1 5 165
OST4 0 0
BRE4 21 108
PTP1 7 53
SSB1 2 40
YDL228C 0 0
HO 23 112
GCS1 11 18
SHS1 7 13
WHI4 4 8
HBT1 24 472
FMP45 8 132
YDL221W 8 135
CDC13 14 128
DTD1 0 0
YDL218W 11 65
TIM22 1 0
RRI1 4 16
GDH2 25 284
PRR2 31 225
NOP6 11 126
SHR3 4 111
YDL211C 7 30
UGA4 8 140
CWC2 4 3
NHP2 0 0
GLE1 2 4
YDL206W 9 67
HEM3 9 12
RTN2 13 51
ACK1 12 65
MRPL11 10 175
TRM8 21 127
MGT1 3 18
YDL199C 5 53
GGC1 4 8
ASF2 10 57
YDL196W 27 265
SEC31 2 1
SNF3 14 61
NUS1 5 5
ARF1 6 10
RPL35A 4 3
UFD2 39 170
RBS1 1 0
PPH22 11 54
YDL187C 1 0
YDL186W 3 2
YDL185C-A 5 14
VMA1 19 55
RPL41A 1 0
YDL183C 11 94
LYS20 15 168
INH1 1 0
YDL180W 5 11
PCL9 2 4
DLD2 5 38
YDL177C 0 0
YDL176W 6 7
AIR2 11 48
DLD1 21 176
PAR32 4 14
YDL172C 2 1
GLT1 42 391
UGA3 15 311
UGX2 4 15
SFA1 20 133
NRP1 10 42
FAP7 0 0
CDC36 5 4
CDC9 7 9
YDL163W 1 0
YDL162C 6 27
ENT1 9 19
MHF2 0 0
DHH1 7 9
YDL159W-A 3 20
STE7 12 58
YDL159C-B 0 0
YDL158C 5 11
YDL157C 1 0
CMR1 24 239
CLB3 16 162
MSH5 30 263
SAS10 0 0
YDL152W 7 26
BUD30 2 1
RPC53 6 11
ATG9 12 33
NOP14 34 100
RPN5 2 2
LDB17 7 40
COP1 14 23
YDL144C 10 88
CCT4 7 8
CRD1 4 3
BPL1 10 10
RPO21 45 159
SCM3 0 0
RGT2 20 123
ARF2 16 132
RPL35B 4 3
RDI1 10 145
PPH21 10 89
RPL41B 2 1
SRF1 3 7
CDC53 10 20
LYS21 8 25
STF1 0 0
RPP1B 2 1
YDL129W 3 9
VCX1 7 63
