gene_name number_of_transposon_per_gene number_of_read_per_gene
RRT12 14 142
YCR045W-A 3 5
IMG1 17 240
BUD23 1 0
YCR047W-A 0 0
YCR049C 11 238
ARE1 26 621
YCR050C 0 0
YCR051W 9 130
RSC6 4 5
THR4 18 206
CTR86 8 23
PWP2 11 81
YIH1 12 96
TAH1 4 9
YCR061W 51 1202
YCR064C 23 354
BUD31 5 63
HCM1 19 113
RAD18 4 5
SED4 23 159
ATG15 43 773
CPR4 14 162
IMG2 3 23
RSA4 4 19
SSK22 47 744
SOL2 12 374
ERS1 14 321
YCR075W-A 4 7
FUB1 10 143
PAT1 11 72
PTC6 18 118
SRB8 19 104
YCR081C-A 1 0
AHC2 4 21
TRX3 8 81
TUP1 11 55
YCR085W 7 31
CSM1 5 13
YCR087W 1 0
YCR087C-A 1 0
ABP1 21 170
FIG2 13 112
YCR090C 6 28
KIN82 34 690
MSH3 18 272
CDC39 19 116
CDC50 3 2
OCA4 4 31
YCR095W-A 3 8
HMRA2 0 0
HMRA1 5 12
YCR097W-A 1 0
GIT1 18 220
YCR099C 2 2
YCR100C 18 219
YCR101C 3 8
YCR102C 14 124
YCR102W-A 2 1
PAU3 5 15
ADH7 34 465
RDS1 22 389
AAD3 17 425
YCR108C 7 206
COS7 3 2
YDL247W-A 0 0
MPH2 0 0
SOR2 2 1
HXT15 6 10
THI13 5 9
AAD4 9 55
YDL242W 12 375
YDL241W 4 26
YDL240C-A 13 77
LRG1 19 144
ADY3 10 206
GUD1 13 89
AIM6 5 6
PHO13 3 15
YPD1 1 0
GYP7 16 174
MFG1 3 5
OST4 0 0
BRE4 18 105
PTP1 12 149
SSB1 6 108
YDL228C 5 51
HO 33 690
GCS1 8 63
SHS1 11 89
WHI4 9 153
HBT1 24 410
FMP45 22 565
YDL221W 18 438
CDC13 20 314
DTD1 0 0
YDL218W 14 121
TIM22 0 0
RRI1 8 89
GDH2 23 671
PRR2 23 220
NOP6 7 38
SHR3 3 3
YDL211C 7 86
UGA4 9 71
CWC2 3 2
NHP2 1 0
GLE1 4 11
YDL206W 12 128
HEM3 5 5
RTN2 14 92
ACK1 4 60
MRPL11 6 74
TRM8 10 43
MGT1 4 50
YDL199C 6 39
GGC1 2 1
ASF2 31 478
YDL196W 16 258
SEC31 4 5
SNF3 8 53
NUS1 2 1
ARF1 6 16
RPL35A 0 0
UFD2 25 216
RBS1 5 27
PPH22 15 122
YDL187C 5 6
YDL186W 4 36
YDL185C-A 7 56
VMA1 12 30
RPL41A 0 0
YDL183C 12 200
LYS20 10 64
INH1 2 22
YDL180W 2 1
PCL9 2 5
DLD2 9 84
YDL177C 3 3
YDL176W 14 51
AIR2 6 21
DLD1 23 347
PAR32 6 19
YDL172C 2 7
GLT1 51 490
UGA3 7 63
UGX2 7 33
SFA1 16 76
NRP1 12 32
FAP7 1 0
CDC36 3 2
CDC9 6 9
YDL163W 0 0
YDL162C 24 342
ENT1 6 62
MHF2 0 0
DHH1 6 39
YDL159W-A 10 120
STE7 11 162
YDL159C-B 0 0
YDL158C 6 89
YDL157C 1 0
CMR1 11 157
CLB3 12 58
MSH5 25 254
SAS10 1 0
YDL152W 2 6
BUD30 1 0
RPC53 5 13
ATG9 24 340
NOP14 24 190
RPN5 2 2
LDB17 4 3
COP1 9 18
YDL144C 9 28
CCT4 2 1
CRD1 3 3
BPL1 5 13
RPO21 24 94
SCM3 0 0
RGT2 23 178
ARF2 10 63
RPL35B 1 0
RDI1 5 24
PPH21 13 127
RPL41B 1 0
SRF1 8 54
CDC53 7 36
LYS21 7 122
STF1 3 17
RPP1B 0 0
YDL129W 3 23
VCX1 8 66
PCL2 17 460
CDC48 5 7
HNT1 9 81
YDL124W 6 89
SNA4 9 161
UBP1 13 39
YDL121C 7 55
YFH1 0 0
YDL119C 13 89
YDL118W 4 3
CYK3 9 23
NUP84 7 54
IWR1 11 109
YDL114W-A 0 0
YDL114W 14 89
ATG20 12 160
TRM3 33 430
RRP42 3 2
TMA17 5 74
YDL109C 15 166
KIN28 5 20
MSS2 7 154
PHO2 14 59
NSE4 1 0
QRI7 9 102
QRI1 2 4
POL3 10 29
DUN1 6 6
GET3 9 82
BUG1 13 76
SNU23 4 6
RPN6 10 34
OPI6 4 36
PMT1 15 156
YDL094C 18 138
PMT5 20 297
SRP14 7 33
UBX3 8 50
RAM1 1 0
